no,cluster,outcome_measure,comparison,statistic_type,values_verbatim,n_info,location,quote,computable
941,movement,Crowd walking speed,Repeated measures ANOVA: odour main effect and odour x noise interaction,test_stat,"Odour: effect 0.133, value 3.437, hypothesis df 9.000, error df 201.000, Sig. 0.001 **; Odour intersect Noise: effect 0.081, value 1.970, hypothesis df 9.000, error df 201.000, Sig. 0.044 *","N = 211 pedestrians (103 person-times at low SPL, 108 at high SPL); odour pre-survey >=30 questionnaires per grid",Table 3,The effects of odor and odor n noise were both significant (p < 0.05),YES
941,movement,"Crowd path (lateral y-value, m)",Repeated measures ANOVA: odour main effect and odour x noise interaction,test_stat,"Odour: effect 0.247, value 6.563, hypothesis df 10.000, error df 200.000, Sig. 0.000 **; Odour intersect Noise: effect 0.103, value 2.290, hypothesis df 10.000, error df 200.000, Sig. 0.015 *","N = 211 pedestrians (103 person-times at low SPL, 108 at high SPL); odour pre-survey >=30 questionnaires per grid",Table 2,the effects of odor and odor n noise on crowd paths were all significant (p < 0.05),YES
941,movement,Crowd path lateral displacement (m),High SPL vs low SPL; y1 (no odour) vs y11 (strong odour) within high SPL,means_sd,maximum longitudinal distance difference between y1 and y11 about 0.3 m at high SPL; low vs high SPL difference significant (p < 0.01); at low SPL the shift toward the odour source was not statistically significant (p > 0.05); at high SPL y1-y4 not different (p > 0.05) but differ from the rest (p < 0.01),"N = 211 pedestrians (103 person-times at low SPL, 108 at high SPL); odour pre-survey >=30 questionnaires per grid",Sec. 3.1 / Fig. 4,the maximum longitudinal distance difference between y1 and y11 being about 0.3 m,NO
941,movement,Correlation of average crowd path with average crowd speed,Low SPL vs high SPL condition (Pearson),correlation,"Low SPL: correlation coefficient -0.010, Sig. 0.923; High SPL: correlation coefficient -0.259, Sig. 0.007 **","N = 211 pedestrians (103 person-times at low SPL, 108 at high SPL); odour pre-survey >=30 questionnaires per grid",Table 4,"under the high SPL condition, the crowd path showed a significant negative correlation with the crowd speed",YES
941,movement,Crowd speed by odour-concentration grid (pairwise),"Grids 1-3 (no odour) vs 4-6 (weak odour) vs 7-10 (strong odour), within each SPL",test_stat,no significant difference between crowd speeds in grids 1 to 3 (p > 0.05) but they and the rest differed significantly (p < 0.01); grids 4 to 6 differed from any of the grids (p < 0.01); grids 7 to 10 not significantly different among each other (p > 0.05); at low SPL no significant difference in crowd speeds between all grids (p > 0.05),"N = 211 pedestrians (103 person-times at low SPL, 108 at high SPL); odour pre-survey >=30 questionnaires per grid",Sec. 3.2,"These results suggest that the higher the odor concentration, the slower the crowd speed",NO
941,other,Traffic-noise exposure levels and traffic conditions (exposure context),Low SPL vs high SPL periods,none,"low SPL 55.6 dB (L10 = 50.3 dB; L50 = 54.6 dB; L90 = 58.5 dB); high SPL 70.5 dB (L10 = 68.9 dB; L50 = 70.4 dB; L90 = 71.7 dB); average driving speeds 46 km/h and 53 km/h; average hourly traffic flow 1,089 and 696 vehicles","N = 211 pedestrians (103 person-times at low SPL, 108 at high SPL); odour pre-survey >=30 questionnaires per grid",Sec. 2.2,the low SPL was finally defined as 55.6 dB and the high SPL was 70.5 dB,NO
951,movement,"Running intensity of street segments (natural log of m/m2, Strava GPS routes)","Traffic noise (dB(A)) at street-segment level, multilevel regression adjusted for greenery, blue space, slope, FAR, HWR, land use mix, air quality, traffic variables",regression,"Model 2: beta = 0.030 ***, standardized beta = 0.171; Model 3: beta = 0.032 ***, standardized beta = 0.183, S.E. = 0.002, p = 0.000; Model 4: beta = 0.034 ***, standardized beta = 0.190, random slope variance 0.0013 ***","13,322 street segments (level 1) in 137 neighbourhoods (level 2), Helsinki; Strava GPS routes 2018-2021",Tables 2 and A1,The positive correlations were found for traffic noise and air quality index with running intensity,YES
951,movement,Running intensity of street segments,Cross-level interaction of traffic noise with neighbourhood median income (MI) and population density (PD),regression,"Traffic noise*MI Model 3: beta = 0.007, standardized beta = 0.021, S.E. = 0.004, p = 0.075; Model 4: beta = 0.008, standardized beta = 0.024 (n.s.); Traffic noise*PD: beta = 1.301, S.E. = 1.915, p = 0.497","13,322 street segments (level 1) in 137 neighbourhoods (level 2), Helsinki; Strava GPS routes 2018-2021",Tables 2 and A1,the cross-level interaction of traffic noise and median income demonstrated weak but positive correlation,YES
951,movement,Descriptive statistics of running intensity and traffic noise exposure,Whole-sample descriptive; no contrast,means_sd,"Running intensity Max 3.45, Min 0.001, Mean 0.12, S.D. 0.23 m/m2; Traffic noise Max 77.36, Min 45.00, Mean 54.26, S.D. 7.62 dB(A)","13,322 street segments (level 1) in 137 neighbourhoods (level 2), Helsinki; Strava GPS routes 2018-2021",Table 1,Traffic noise (dB(A)) 77.36 45.00 54.26 7.62,NO
951,movement,Model fit / variance partition of the multilevel models,Model 1 (null) to Model 4,regression,"VPC neighbourhood 0.24, 0.21, 0.22, 0.35; AIC 43,580.47, 41,737.66, 41,642.24, 40,126.37; level-1 variance 1.49, 1.29, 1.28, 1.03; level-2 variance 0.46, 0.35, 0.35, 0.54 (all p < 0.01)","13,322 street segments (level 1) in 137 neighbourhoods (level 2), Helsinki; Strava GPS routes 2018-2021",Table 2,the differences across neighbourhood explained about 24% of the variability in running intensity,NO
