no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
726,FINAL_INCLUDE,2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC H,Forest Therapy Alone or with a Guide: Is There a Difference between Self-Guided Forest The,South Korea,"campus (충북대 캠퍼스 숲 약 315,000 m2 · 1.7 km 루프 탐방로)",field-experiment (무작위 배정 2군 8주 8회 개입 + 에세이 질적 내용분석 NVivo 12.0 · 카이제곱 검정),37 (자율형 19·안내형 18; 에세이 111편; 평균 21.4세),산림치유 활동 유형 — 자율형(가이드 없이 1.7 km 루프 단독 보행·스트레칭·호흡·명상) vs 안내형(치료사 인솔 집단활동: 숲길 걷기·맨발 걷기·포크댄스·오리엔티어링·로프게임); 음환경은 별도 측정 없이 에세이 내 청각요소(새소리·바람소리·낙엽 밟는 소리) 언급으로 포착,activity; movement; social,무작위 배정된 산림활동 유형(단독 자율 보행 vs 집단 가이드 활동)과 에세이에 보고된 사회적 상호작용 범주 언급 빈도,self-report (자기보고 에세이 내용분석) + 무작위 배정 프로토콜,reverse,"단독 자율형 보행군은 청각요소(새소리·낙엽 밟는 소리)를 치유인자로 언급한 비율이 47.4%로 안내형 집단활동군 20.4%보다 유의하게 높아 활동 형태가 옥외 사운드스케이프 지각의 현저성을 좌우했고, 반대로 안내형 집단활동군은 사회적 상호작용 언급이 48.1% 대 8.8%로 우세했다","auditory element 47.4% (27/57) vs 20.4% (11/54), chi2 = 8.977, p = 0.003, Cramer's V = 0.284 (moderate); social interaction 8.8% vs 48.1%, chi2 = 21.360, p < 0.001, V = 0.439; introspection 63.2% vs 37.0%, chi2 = 7.569, p = 0.006"
732,FINAL_INCLUDE,2021,BUILDING AND ENVIRONMENT,Investigating contextual influences on urban soundscape evaluations with structural equati,Canada,square/park/street,survey,1429,몬트리올 도심 4개 공공공간(Public Square·Pocket Park·Green Park·Pedestrian Zone)의 현장 음환경 — 들린 음원 자유응답·SSQP 8개 척도·Loudness·Appropriateness·Restorativeness 평가(개입 없음),social; space-use,자기보고 사회적 상호작용(혼자 방문 vs 그룹 방문 이분변수)과 방문 중 수행 활동(자유응답),self-report (현장 인터셉트 설문),reverse,"그룹으로 공공공간을 이용한 사람은 혼자인 사람보다 사운드스케이프를 더 pleasant하고 덜 eventful하게 평가했으며, 젊을수록·여성·외향적일수록 그룹으로 공간을 점유하는 경향이 컸다",NR (CFA 표준화 부하량 0.28-0.75만 발췌에 제시·그룹 여부 관련 SEM 경로계수는 발췌에 없음)
746,FINAL_INCLUDE,2021,TRAVEL BEHAVIOUR AND SOCIETY,"Perception of the built environment and walking in pericentral neighbourhoods in Santiago,",Chile,street,survey,120,"산티아고 6개 도심인접(pericentral) 근린 보행경로의 환경요소 — 교통소음·자동차 통행이 주요 부정 요소, 가로수·넓은 보도·활성 용도가 긍정 요소(음압레벨 실측 없음)",movement; activity,"walking interview(고얼롱) 중 자기보고한 보행 용이·방해 요인, 경로 선택과 회피, 유발 정서",self-report (이동 중 질적 인터뷰),forward,"교통소음은 자동차 통행·좁고 훼손된 보도·어려운 횡단과 함께 보행을 방해하는 요소로 보고되었고 스트레스·공포·분노를 유발했으며, 특히 고령자와 여성에서 두드러졌다",NR (질적 연구·발췌에 통계량 없음)
760,FINAL_INCLUDE,2021,International Journal of Human Capital in Urban Management,Soundscape Assessment in Historical Urban Spaces Using Sound Walk Method and Kano Model,Iran,square/street,mixed,129,"시라즈 Zandieh 역사도심 공공공간의 음원 — 자연·인공·인간 음원 분류, 지하도 환기팬 소음과 가로 교통소음이 지배적, 사운드워크 기반 sound map·noise map 작성",space-use; staying,음원 근접도에 따른 이용자 행태 관찰(평일 오전·정오·야간 각 20분씩 3회 관찰·behavioral pattern 도면화),observation (+ narrative interview·Kano 설문),forward,"이용자의 69%가 지하도 환기팬 등 소음을 가장 크게 지각해 공간 수용성이 낮아졌고 음원 근접도에 따라 관찰된 행태 패턴이 달라졌으며, 59%가 자연음을 76%가 정온함을 선호한 반면 vibrant 공간 선호는 11%에 그쳤다",descriptive only: 69% perceive underpass fan noise most; 59% prefer natural over human sounds; 76% prefer tranquillity; 11% prefer vibrant space; questionnaire Cronbach alpha = 0.805
761,FINAL_INCLUDE,2021,FORESTS,Soundscape Perceptions and Preferences for Different Groups of Users in Urban Recreational,China,park,survey,2034,22 sounds regularly heard in 6 urban recreational forest parks - natural (birds; insects; dogs; ducks; leaves; wind; water); artificial (mowing; construction; engines; bicycles; speech; children; footsteps; diabolo; trains; automobiles; motorbikes) and musical (square dancing; broadcast music; singing; instruments) - each rated for perceived occurrence; loudness and preference,staying; activity; social; space-use,length of stay in the park; visit frequency; park familiarity; presence of companions; type of recreational activity,self-report,reverse,The longer attendees remained in the park the more positive their overall soundscape preference; having companions and specific types of recreational use increased the frequent perception of artificial sounds; and greater park familiarity and older age raised tolerance toward sounds others find annoying,NR
762,FINAL_INCLUDE,2021,FRONTIERS IN PSYCHOLOGY,Soundscape in Times of Change: Case Study of a City Neighbourhood During the COVID-19 Lock,Spain,square,natural-experiment,"50 recording days (69-day period); expert raters N = 11 (pleasantness/eventfulness), N = 12 (sound event annotation)","COVID-19 락다운 3단계에 따른 근린 광장 음환경 변화 — 5분 현장 녹음, Loudness·Acoustic Complexity·Acoustic Richness, Natural/Human/Technological 음원 분류",movement; space-use; activity; social,"지각된 인간 음원(대화·보행음) 비중, 자동차 대비 personal mobility device 음원 비중, 관찰 일지·사진에 기록된 거리 활동",observation + sensor (오디오 녹음·사진·일지) + 전문가 지각평가,reverse,"옥외 인간활동의 중단과 재개가 사운드스케이프를 좌우해 Eventfulness·Acoustic Complexity·Acoustic Richness는 기간 중 유의하게 증가하고 Technological sounds는 감소했으며, 3단계의 거리생활 복귀와 개인이동수단 확산이 Eventfulness·Loudness 증가를 이끌었다",NR (유의 증가로만 보고·발췌에 통계량 없음)
791,FINAL_INCLUDE,2022,SENSORS,A Low Cost IoT Cyber-Physical System for Vehicle and Pedestrian Tracking in a Smart Campus,Spain,campus (말라가대학교 Teatinos 캠퍼스 옥외 0.71 km² — 캠퍼스 가로·학부 건물 주출입구 4개 지점),observational,"NR (개인 표본 없음; 센서 4대·61일(2019-01-09~03-09), 평일 일평균 검출기기 19,548–22,877대)","센서 내장 사운드미터(BENE TECH GM1356, 30–130 dB)로 1분 단위 Leq 산출한 캠퍼스 환경소음; 주 소음원은 교내 통행·도로교통, 말라가시 조례 기준(야간 50 dB·주간 60 dB) 초과 상태",movement; space-use,"Bluetooth·Wi-Fi MAC 주소 비참여 탐지 기반 통행 계측 — 10분 단위 검출 기기 수(요일·시간대별), 센서 간 이동 플로우 4종(Flow A–D)의 시간대 분포, 이동 속도",observation,reverse,"인원 검출량과 이동 플로우가 8:30·14:00·19:30에 피크를 보였고 다항곡선 적합한 소음 레벨의 극대·극소가 동일 시간대에 나타나, 캠퍼스 소음의 주 원천이 사람들의 통행(도로교통)이라고 결론; 통계적 상관계수는 제시하지 않음","average speed of the human flows 2.95 m/s (10.62 km/h), highest tracked flow 13.1 m/s (47.2 km/h); noise levels higher than 50 dB during the night and higher than 60 dB during the day; Wi-Fi devices/day 19,803.1(Mon)–23,655.2(Fri) vs 12,790.6 (Sun & Holi)"
799,FINAL_INCLUDE,2022,APPLIED SCIENCES-BASEL,Analysis of the Effects and Causes of Driver Horn Use on the Acoustic Environment at Urban,Taiwan,street,field-observation,"3개 교차로 x 각 평일 1일·주말 1일, 07:00-19:00 12시간 측정(교통량은 매시 10분 영상 계수)","운전자 경적(horn) 사용, 도로교통소음 A-weighted SPL(LAeq,10min·LAmax), 차종별 교통량, 신호주기·녹색신호 phase",social; movement,"경적 취명 빈도와 신호주기 내 취명 시점, 좌회전 진입 후 취명, 선행차 출발 대기시간(4초 초과), 차종별(오토바이·표준·대형) 통행량","observation (2대 camcorder 영상 계수) + sensor (RION NL-52 소음계, AS-60로 경적 시점 추출)",reverse,"경적 사용은 표준차량 교통량과 정적 관계를 보였고 녹색신호 후 선행차가 4초 넘게 정지해 있을 때 좌회전 진입 후 집중적으로 취명됐으며, 경적 빈도가 증가할수록 LAmax가 상승한 반면 LAeq,10min은 경적과 무관하고 오토바이 교통량에 따라 증가했다","NR (다중회귀에서 LAmax가 경적 빈도와 함께 증가, 차종별 교통량-경적 빈도 상관계수는 Table 5에 제시되나 발췌에 수치 없음)"
804,FINAL_INCLUDE,2022,FORESTS,Audio-Visual Preferences for the Exercise-Oriented Population in Urban Forest Parks in Chi,China,park,survey,NR,stated preference for 16 sounds heard in Beigushan urban forest park - natural (wind; birdsong; insects; rustling leaves; water flow); human activity (conversation; children playing; footsteps; exercise sound) and artificial (traffic; entertainment; device music; construction; machine; broadcast) - on a 5-point scale (-2 to +2),activity; movement,exercise form (slow walking; running; brisk walking; fitness equipment use); exercise intensity; exercise duration; exercise frequency; exercise location; non-exercise activity types,self-report,reverse,Exercise behaviour differentiated soundscape preference - people who slowly walk; run and briskly walk showed stronger preference for natural soundscape while fitness-equipment users were more inclusive of human activity sounds - and exercise intensity and frequency significantly affected audio-visual preferences; whereas overall soundscape preference had only a weak direct effect on exercise feelings (natural sound still positive),NR
818,SENS_ONLY,2022,LAND,Does Soundscape Perception Lead to Environmentally Responsible Behavior? A Case Study in L,China,recreation,survey,510 valid (550 distributed; 92.7% return rate),soundscape perception of a national forest park as a second-order construct with three subdimensions - physical (PSP); psychological (SSP) and regional (RSP) soundscape perception - 13 items on a 5-point Likert scale; park contains both natural and humanistic soundscapes,social,tourists' environmentally responsible behaviour (ERB) including high-effort ERB (HERB); self-report scale adapted from Cheng; items in Appendix A and not shown in excerpt,self-report,forward,Place attachment mediated the effect of all three soundscape perception subdimensions on high-effort environmentally responsible behaviour and enhancement of psychological soundscape perception (SSP) fostered tourists' ERB via a significant indirect effect,three-factor SP solution explained 67.966% of variance; Cronbach's alpha 0.788-0.828; standardized factor loadings 0.536-0.918; structural model chi2 = 654.856; path coefficients NR (Table 6 not in excerpt)
821,FINAL_INCLUDE,2022,SUSTAINABILITY,Effects of Sound Source Landscape in Urban Forest Park on Alleviating Mental Stress of Vis,China,park,survey,266 (유효 설문),"도시숲공원 9개 표본지점의 음원 유형 — 자연음(새소리·매미·물흐름·바람에 흔들리는 잎), 인공설비음(교통·방송음악·항공기·공사), 인간활동음(대화·발자국·청소·아이들 놀이)",space-use; activity,"자기보고 이용행태 지표 — 주간 공원 이용 빈도, 방문 시간대, 방문 시간(체류) 및 이용 유형",self-report,reverse,"방문 빈도가 높을수록 음원 지각 민감도가 높았고 방문 시간대·연령·학력에 따라 사운드스케이프 지각과 스트레스 완화 평가가 유의하게 달랐으며, 새소리 등 자연음이 심리적 스트레스 완화에 가장 크게 기여했다","NR (Spearman rho 상관·Kruskal-Wallis 비모수 검정·다중회귀 유의로만 보고, 계수 발췌 없음)"
833,FINAL_INCLUDE,2022,JOURNAL OF TRANSPORT & HEALTH,How are air pollution and noise perceived en route? Investigating cyclists' and pedestrian,Germany,street,mixed,28,"베를린 퇴근 통근경로의 개인 노출 실측 — 웨어러블 센서로 소음 dB(A) 2초 간격·입자수(PNC) 1분 간격·GPS 동시 기록, 도로교통 소음과 녹지·수변의 정온함 대비",movement,"경로 선택과 hidden path 이용, 배출원과 거리 두기 등 보호 행태, GPS로 기록된 실제 통근 경로",self-report (이동 중 go-/ride-along 인터뷰 + GPS 경로 기록),forward,"자전거·보행 통근자는 소음·대기오염 노출을 줄이려 녹지가 있는 hidden path로 우회하고 배출원과 거리를 두는 보호 행태를 취했으며, 실측 노출이 높아도 녹지·물소리·사람의 존재가 있으면 그 구간을 긍정적으로 평가했다",NR (질적 코딩과 노출 실측 대조·발췌에 통계량 없음)
858,FINAL_INCLUDE,2022,ACOUSTICS,Soundscape Approach in the Seaport of Ancona: A Case Study,Italy,waterfront (안코나 항만 공공개방구역 8개 클러스터 C1–C8 — 바이노럴 녹음+8K 영상 온라인 청취테스트로 옥외 재현),mixed,228,"8개 클러스터 현장 바이노럴 녹음(HATS type 4100·CS-10EM, 2021년 10월 주간 11:00–16:00)을 헤드폰 재생; SPL 26.0–53.8 dBA, loudness 47.81–67.50 phone, sharpness 0.66–1.43 acum, roughness 0.34–2.96 asper, fluctuation strength 0.17–1.10 vacil",space-use,"자기보고 행태변수 — 해당 장소 방문빈도(매일~비정기), 체류시간(장소에 머무는 정도), 방문 동기; 주관적 데이터셋 정규화(normalization)에 사용",self-report,reverse,"응답자 53%가 매일 방문·9%가 비정기 방문이었고 방문빈도·체류시간·동기를 사운드스케이프 평가 데이터의 정규화 도구로 투입했으나, 행태변수와 평가의 관계를 검정한 결과는 보고되지 않음; 보고된 결과는 음향·심리음향 지표와 주관평가(pleasant·annoying·calm 등)의 회귀관계와 클러스터별 SQI·PA","Pleasant = 0.12*Leq + 0.4*Phone + 0.6*Sharp - 13.9 (r2 = 0.82, Rmse 0.36); Calm r2 = 0.86; Annoying r2 = 0.80; Vibrant r2 = 0.81; Eventful r2 = 0.76; PAport polynomial regression r2 = 0.93, covariance 0.50, probability 0.001; 53% visiting the port every day, 9% irregular visits"
862,FINAL_INCLUDE,2022,FORESTS,Temporal and Spatial Characteristics of Soundscape Ecology in Urban Forest Areas and Its L,China,"park (푸저우 Hot Spring Park — 도심 도시숲 공원 약 10 hm², 70×70 m 그리드 31개 모니터링 지점)",observational,"NR (개인 표본 없음; 31지점×맑은 날 3일·6:00–22:00, 총 60,527.6초·11,202회 음원 계수, 일평균 992분 녹음)","공원 사운드스케이프 — 52종 음원을 자연음·교통음·관리음·레크리에이션음 4범주로 분류하고 PSD(1–11 kHz, w/kHz)와 SDI(Simpson 개량 다양성지수) 산출; 레크리에이션음이 지속시간 41.87%·빈도 41.04%로 최대, 자연음 28.51%/43.29%",activity; space-use,레크리에이션 행태의 음향 기록 — 배드민턴·박수와 발구르기·줄넘기·스케이트보드·달리기와 뛰기·걷기 등 활동음과 대화·아이놀이·노래·웃음 등 사회음의 빈도·지속시간; 파노라마 사진 의미분할(DeeplabV3+)로 산출한 이용객(tourists) 비율,observation,reverse,"공원의 음향파워(PSD)와 사운드스케이프 다양성(SDI)이 공중의 레크리에이션 행태에 크게 좌우되어 SDI 일변화가 레크리에이션음 분포와 같은 추세를 보였고, 이용객 비율이 높을수록 자연음 지속시간이 유의하게 감소했으며, 배드민턴·박수·아이놀이 등 일부 레크리에이션 행태가 생물 발성 고주파대를 점유해 조류 발성에 영향을 줄 수 있다고 보고; 저자는 SDI를 공원 레크리에이션 행태 다양성 지표로 사용할 수 있다고 제안","tourists ratio vs natural sound duration r = -0.443 *; hard ground ratio vs SDI r = 0.364 *, vs PSD r = 0.361 *; shrub ratio vs PSD r = -0.362 *; building ratio vs recreational frequency r = -0.427 *, arbor ratio vs recreational frequency r = 0.381 *; PSD model R2 = 0.555 (DW = 2.336), SDI model R2 = 0.432 (DW = 2.152); SDI peak 0.827 (17:00-18:00), min 0.339 (14:00-15:00); PSD max 1.09 w/kHz, children playing 0.8 w/kHz"
883,FINAL_INCLUDE,2022,PEOPLE AND NATURE,Urban park soundscapes: Spatial and social factors influencing bird and traffic sound expe,Australia,park,survey,4105,최근 방문한 동네 공원에서 경험한 새소리와 도로교통 소음(ex situ 회상 설문·음압레벨 실측 없음),space-use; activity; social,자기보고 최근 공원 이용(최근 방문 여부)과 공원을 운동·사교·자연의 소리 듣기 목적으로 가치평가하는지 여부,self-report,reverse,"최근 공원을 이용했고 운동·사교 목적으로 공원을 가치있게 여기는 사람일수록 새소리를 pleasant하게 경험할 확률이 높고 교통소음을 unpleasant하게 지각할 확률은 낮았던 반면, 임차 등 사회경제적 불리 집단과 자연친화성이 높은 집단은 교통소음을 더 unpleasant하게 지각했다",NR (logistic regression 결과는 Table 1-2에 있으나 발췌에 수치 없음; a priori power 계산 기준 OR = 1.49)
901,FINAL_INCLUDE,2023,ECOLOGICAL INDICATORS,Can acoustic indices reflect the characteristics of public recreational behavioral in urba,China,park,mixed,NR (35개 음향 모니터링 지점·6:00-22:00 관측),"도시녹지 35개 지점의 연속 음향 녹음 기반 음향지수 — ACI·ADI·AR·NDSI와 10개 주파수 구간 PSD, 개장시간 6:00-22:00 전 시간대 측정",activity; movement; space-use,관찰로 기록한 공공 여가행태의 유형별 인원·빈도와 그 시간대별·공간별 변이(통과 보행이 최다 유형),observation (+ 음향센서 연속 녹음),reverse,"ACI·ADI·AR은 공공 여가행태와 동일한 W자형 일변동과 공간분포를 보였고(NDSI는 반대 패턴), 상관분석과 GLMM에서 음향지수가 방문객 활동 동태를 유의하게 반영했으며 PSD의 5-6·6-7·9-10 kHz 구간이 서로 다른 여가행태 정보를 담았다",NR (correlation coefficients·GLMM 결과는 Table 4-5·Fig. 9-10에 있으나 발췌에 수치 없음)
930,FINAL_INCLUDE,2023,SUSTAINABILITY,Measuring the Soundscape Quality in Urban Spaces: A Case Study of Historic Urban Area,Iran,street,survey,288 (3 user groups x 96),"urban sonic environment quality (pleasantness, evocative/inspiring role, space interactivity); area sound levels recorded 60-91 dB",space-use; social,"self-reported attendance in the public open space (purpose of attendance, willingness to attend, accompanying friends/family)",self-report,forward,"Sonic environment quality predicted people attendance on the historic pedestrian street: unpleasant sound conditions lowered willingness to attend and discouraged bringing friends and family, reinforcing individualistic use.",NR
931,FINAL_INCLUDE,2023,LANDSCAPE AND URBAN PLANNING,Natural sounds can encourage social interactions in urban parks,China,park,field-experiment,NR,"loudspeaker sound interventions in situ: bird song and water sound (natural), traffic noise and construction noise (artificial), plus quiet control and white noise",social,"proportion of people engaging in social interaction, frequency of social interaction, percentage of time spent on social interaction",observation (covert hidden-camera video coding),forward,"Natural sound interventions raised the proportion of people engaged in social interaction by about 10% and increased interaction frequency and total duration by about 10%, mainly for within-group interactions, while noise interventions had no significant negative effect.",Natural sounds increase about 10% of people engaging in social interactions; natural sounds increase the total duration of social interactions by about 10%
941,FINAL_INCLUDE,2023,LANDSCAPE ARCHITECTURE FRONTIERS,Research on the Combined Effects of Plant Odor and Traffic Noise on Crowd Behaviors in Urb,China,street,field-experiment,NR (Table 1 person-time sample sizes not in excerpt),"Traffic noise at two levels (low 55.6 dBA vs high 70.5 dBA, at least 10 dB apart) crossed with lilac (Syringa amurensis) plant odour concentration graded none to strong on a 7-point scale",movement,"Crowd walking path (lateral position of the trajectory relative to the noise and odour sources) and crowd walking speed in m/s, extracted from drone observation video",sensor-GPS-video,forward,"At high SPL pedestrian paths shifted away from the traffic-noise side and moved up to about 0.3 m toward the odour source as odour strengthened, and mean crowd speed slowed from 1.24 m/s to 1.18 m/s, whereas path and speed were almost unaffected at low SPL",max longitudinal path shift about 0.3 m; mean speed 1.24 m/s to 1.18 m/s at high SPL; overall mean 1.17 m/s; repeated measures ANOVA in Tables 2-3 with F and p values not in excerpt
951,FINAL_INCLUDE,2023,SUSTAINABLE CITIES AND SOCIETY,Sustainable design of running friendly streets: Environmental exposures predict runnabilit,Finland,street,sensor-bigdata,"13,322 street segments (Strava running routes 2018-2021, Helsinki)","Street-segment traffic noise level, with air quality index, Green View Index, NDVI, blue space density, slope, Floor Area Ratio, connectivity and traffic accidents as co-exposures","movement, activity","Running intensity per street segment, computed as total length of Strava GPS running routes within a 20 m buffer divided by buffer area (range 0.001-3.45 m/m2)",sensor-GPS-video,forward,"Running intensity was positively correlated with traffic noise and air pollution and negatively with urban density, connectivity and traffic accidents, while blue space density was the predominant positive predictor","NR (multilevel model coefficients reported in Table 2, values not in excerpt)"
964,FINAL_INCLUDE,2023,FRONTIERS IN PSYCHOLOGY,The effects of the natural visual-aural attributes of urban green spaces on human behavior,China,park,mixed (on-site behaviour mapping + questionnaire),NR,"natural and other sound sources (bird sounds, chirp/insect sounds, wind sounds) paired with visual landscape attributes (grassland, waterscape, woodland)",space-use; activity; staying,on-site mapping of visitors activities and activity vitality across landscape and sound settings (behaviour maps),observation (on-site mapping) + self-report questionnaire for emotion,forward,"Natural sounds (bird, chirp, wind) and nature-dominated visual landscapes were positively correlated with activity vitality; grasslands and woodlands attracted recreation and vitality became extremely high when paired with lakes.",NR
971,FINAL_INCLUDE,2023,FORESTS,Thermal-Acoustic Interaction Impacts on Crowd Behaviors in an Urban Park,China,park,field-experiment,NR,"played sound sources (grass-cutting noise, melodious music, no sound source) crossed with low/moderate/high thermal levels; LAeq and UTCI monitored",movement; staying; space-use,"number of people (crowd flow), number of persons staying and staying time, approach/avoidance path choice relative to the sound source, walking speed",observation (covert behaviour observation) + sensor (LAeq/UTCI),forward,"Music attracted more visitors and slowed walking pace, whereas grass-cutting noise (especially under high temperature) reduced crowd flow, shortened staying time and produced avoidance paths away from the source.",NR
979,FINAL_INCLUDE,2023,VISUAL COMMUNICATION,Walking through the city soundscape: an audio-visual analysis of sensory experience for pe,NR,street,field-observation,NR (number of walk-along participants with psychosis not stated in excerpt),"Naturally occurring urban street sounds and noise during walk-alongs, including short and very loud metallic noises near a parked truck, a car horn and a strident tyre screech","movement, social","Video-coded embodied and verbal conduct while walking: gaze reorientation and looking down, orienting to the noise source, walking away from the partner and solitary gait, turn-taking (minimal and delayed replies, absence of topic initiation) and silences",observation,forward,"Loud strident street noises were followed by observable disengagement in the participant with psychosis: gaze aversion and orienting toward the noise source, progressively walking away from the partner and minimal or delayed conversational contributions including a 29-second silence, the longest of the entire walk-along",NR
980,FINAL_INCLUDE,2023,FORESTS,White Spaces Unveiled: Investigating the Restorative Potential of Environmentally Perceive,China,park (창춘 Culture of Water Ecology Park 겨울 도시공원 원로 12개 — primary/secondary/walking path 3유형),survey (저자 표기 on-site experiment — 산술과제로 스트레스 유발 후 현장 설문),180 (배포 200·유효 180; 남 89·여 91),"겨울 백색공간의 사운드스케이프 지각(평온감 relaxed·soothed·calm·sober, 쾌적감 cheerful·satisfied·happy·comfortable 7점)과 픽셀그리드로 정량화한 경관요소(하늘·눈·시설·상록수·낙엽수 가지) — 객관 음향측정은 미실시(저자 한계로 명시)",staying; space-use,겨울 옥외 환경노출 지속시간 자기보고(약 10분/20분/30분/40분/50분/1시간/2시간 7점)와 이용 중인 원로 유형(PP/SP/WP),self-report,reverse,"환경노출 지속시간이 길수록 사운드스케이프 회복지각(특히 fascination·being away)과 경관 회복지각이 모두 유의하게 높았고 노출시간은 경관요소→PRS 경로의 부분매개로 작용했으며(상록수 34.85%·눈 32.12%·가지 27.91%), 원로 유형별로 사운드스케이프 평온·쾌적·회복성에 유의차가 있어 primary path가 가장 높았고, 체류시간은 성별로 갈려 여성은 20~40분 단기 방문·남성은 45분~2시간 이상에 집중됐다",exposure duration vs soundscape: fascination r=0.477** / being away r=0.490** / compatibility r=0.277** / extent r=0.354** / PRSS r=0.551**; vs landscape PRS r=0.623**; tranquility vs PRS r=0.415**; pleasantness vs PRS r=0.353**; primary path PRS=5.18±0.53 PRSS=5.29±0.62; PRSS male 5.05±0.67 vs female 4.77±0.80 F=6.540 p=0.011*
984,FINAL_INCLUDE,2024,LANDSCAPE RESEARCH,A study on the fusion of musical theme landscape and soundscape in Hefei Feicui Lake sceni,China,park (Hefei Feicui Lake scenic spot - lakeside urban scenic park with musical fountain and violin island),mixed (soundwalk with 10 sampling points + on-site Likert questionnaire + SPL measurement + evening musical-fountain on/off comparison),"262 valid questionnaires of 273 collected (300 distributed), March 2023; plus 120 evening interviewees (60 with musical fountain on, 60 with fountain off)","Musical theme landscape fused with the site soundscape (musical fountain switched on vs off, violin island, broadcast music, fountain and bird sounds, traffic and construction noise); LAeq measured at 10 points ranged 42.1-74.5 dB(A)",staying; social; activity; space-use,"Staying, resting and communicating at the musical fountain (proportion preferring to stay/rest/communicate; stayed vs passed by); visit purpose (entertainment and rest vs passing through), length of stay and number of visits used as behavioural predictors of soundscape satisfaction and comfort","self-report (soundwalk-based Likert questionnaire and on-site verbal interview at the fountain) + sensor (BSWA801 and Norsonic Nor121 sound level meters, 01dB software)",both,"With the musical fountain operating, perceived comfort and the share of visitors staying, resting or communicating were significantly higher than when it was off; visitors whose activity was entertainment or rest, who stayed longer, or who had visited more than five times reported higher satisfaction, and satisfaction/comfort peaked parabolically at 50-60 dB(A)","Comfortable or very comfortable 68.33% (fountain on) vs 43.33% (fountain off), p < .05; willing to stay, rest or communicate 68.33% vs 56.67%; entertainment/rest users vs passers-by, longer vs shorter stay, and >5 vs <5 visits all p < .05; sound sensitivity decreased with visit number p < .05; education p < .01; gender and age p > .05; LAeq 42.1-74.5 dB(A) with optimum 50-60 dB(A); n = 262, Cronbach alpha 0.741, KMO 0.757"
999,FINAL_INCLUDE,2024,SCIENCE OF THE TOTAL ENVIRONMENT,Comparative evaluation of soundscapes in human activities spatial contexts of pedestrian s,China,street,lab-VR-experiment,30 participants,"Seven laboratory auditory environments combining 68 dB traffic noise with residential activity sounds or commercial activity sounds at varying signal-to-noise ratios representing low and high activity intensity (field LAeq: TN 68.3, RS 66.2, CS 67.8 dBA)","activity, social","Human activity spatial context operationalised as activity type (commuting, residential, commercial) and activity intensity (SNR of activity sounds over traffic noise); no behaviour was observed on participants",self-report,reverse,"Adding human activity sounds to constant traffic noise lowered the perceived dominance of traffic noise and raised acoustic comfort despite higher acoustic energy, with best comfort for low-intensity residential and high-intensity commercial activity and more actively engaging soundscapes at higher activity intensity","NR (repeated measures ANOVA reported in Tables 2-5, values not in excerpt)"
1005,FINAL_INCLUDE,2024,HELIYON,Crowdsourced cycling data applications to estimate noise pollution exposure during urban c,Ireland,street,mixed,"81,403 Strava cycle trips plus 335 surveyed cyclists",Road traffic noise exposure in Dublin estimated from local environmental data and 17 noise monitoring stations (WHO 53 dB Lden limit cited; cyclist levels reported at 71-75 dB),"movement, space-use, activity","Self-reported temporal and spatial detours taken because of noise, plus Strava-recorded cycling route choice and trip volumes for a direct route versus the popular detour route",sensor-GPS-video,forward,"Cyclists reported that noise changed their behaviour mainly through temporal and spatial detours, and the popular detour route carried about 10 dB(A) lower noise exposure than the direct route at the cost of roughly 4 extra minutes","+10 dB(A) exposure increase on the direct route versus the popular detour, for a saving of approximately 4 min; survey percentages in Table 2 not in excerpt"
1009,SENS_ONLY,2024,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,Effect of human sound component on the sociability of urban public spaces-a case study in ,UK,square,field-experiment (immersive 360-degree video and spatial audio playback; participants recruited on site),120,Four designed 360-degree soundscape samples from Peace Gardens recordings: V1 foreground human sound (talking/laughing) over pleasant background; V2 background human sound; V3 no human sound (control); V4 foreground loud signal sound over pleasant human background,social,Level of Willingness for social interactions (LoW-C/E/S) as stimulation level; soundscape suitability via SQE (stressful-peaceful; uneventful-eventful; unsafe-safe; unpleasant-pleasant),self-report (questionnaire after each 360-degree sample),forward,"Only the foreground human sound sample significantly raised both soundscape suitability and willingness for social interaction, while the other three samples produced either high suitability/low stimulation or low suitability/high stimulation, and the preference varied by companion type and age group","Correlations of social willingness with companion types and age reported as negative coefficients R = -0.233 and R = -0.206 (Table 1, with two-sample t-tests); other effect sizes NR in excerpt"
1018,FINAL_INCLUDE,2024,ECOLOGICAL INDICATORS,Exploring Acoustic-Visual perception and satisfaction in urban Parks: Based on behavioral ,China,park,mixed,"1,044 respondents across three urban parks","Urban park acoustic environment: LAeq measured for 10 min at each sampling site plus identified sound sources (traffic noise, music, human sounds, natural sounds) across fitness trails, open squares, tree-shaded squares and pavilions","staying, movement, activity","Behavioural state of each respondent classified as sitting, walking or acoustic behaviour and sustained for over 15 min, recorded by both observation and questioning",observation,reverse,"Respondents in different behavioural states (sitting, walking, acoustic) reported different acoustic-visual perceptions and satisfaction, so behavioural state conditioned soundscape evaluation and predicted acoustic, visual and overall satisfaction","NR (multiple linear regression results in Tables 4-6, values not in excerpt)"
