rec,verdict,reason_code,note,openalex_id,route,tier,year,journal,doi,title
128,MAYBE,,"자전거 이용행태와 환경요인, 소음 변수 확인 필요",W3172915854,backward,T2,2021,Travel Behaviour and Society,10.1016/j.tbs.2021.05.006,How does the individual perception of local conditions affect cycling? An analysis of the impact of built and non-built environment factors on cycling behaviour and attitudes in an urban setting
129,EXCLUDE,E5,"사운드스케이프 접근 논평, 실증연구 아님",W1965050365,backward,T2,2010,Noise Control Engineering Journal,10.3397/1.3484180,Perspective of the soundscape approach as a tool for urban space design
130,EXCLUDE,E3,"녹지와 정신건강 경로분석, 음환경 변수 없음",W4287010254,forward,T2,2022,Land,10.3390/land11081128,Green Space for Mental Health in the COVID-19 Era: A Pathway Analysis in Residential Green Space Users
131,EXCLUDE,E3,"휴양지 혼잡 지각 연구, 음환경 없음",W2101963781,backward,T2,1989,Environment and Behavior,10.1177/0013916589213002,Perceived Crowding in Recreational Settings
132,EXCLUDE,E1,공원 음향 생태계 모니터링 중심,W4223930210,backward,T2,2022,Urban forestry & urban greening,10.1016/j.ufug.2022.127555,Soundscapes of urban parks: An innovative approach for ecosystem monitoring and adaptive management
133,EXCLUDE,E4,보존가치 사운드스케이프 특성·평가만,W2981398340,forward,T2,2019,Journal of Environmental Management,10.1016/j.jenvman.2019.109722,Characteristics and evaluation of urban soundscapes worthy of preservation
134,EXCLUDE,E4,"캠퍼스 사운드워크 설문·소음측정, 지각만",W3118885546,backward,T2,2021,Sustainability,10.3390/su13020841,"Soundwalk, Questionnaires and Noise Measurements in a University Campus: A Soundscape Study"
135,EXCLUDE,E4,EEG 정서반응 등 생리지표만,W3205766098,forward,T2,2021,Forests,10.3390/f12101380,Electroencephalography (EEG)-Based Neural Emotional Response to the Vegetation Density and Integrated Sound Environment in a Green Space
136,EXCLUDE,E4,부지유형별 교통소음-성가심 관계만,W2289181952,forward,T2,2016,Transportation Research Part D Transport and Environment,10.1016/j.trd.2016.02.007,A study of relationships between traffic noise and annoyance for different urban site typologies
137,CANDIDATE,,"가로 광장무 활동이 형성한 사운드스케이프, 역방향 적합",W2920455037,forward,T2,2019,International Journal of Environmental Research and Public Health,10.3390/ijerph16050840,An Investigation of Soundscape Factors Influencing Perceptions of Square Dancing in Urban Streets: A Case Study in a County Level City in China
138,EXCLUDE,E4,가상 사운드워크 사운드아트 개입 평가만,W3011764555,forward,T2,2020,Applied Sciences,10.3390/app10062102,Using Virtual Soundwalk Approach for Assessing Sound Art Soundscape Interventions in Public Spaces
139,EXCLUDE,E4,상업가로 사운드스케이프 지표 개발,W2428939645,backward,T2,2016,Acta acustica united with Acustica,10.3813/aaa.918965,Development of Indicators for the Soundscape in Urban Shopping Streets
140,MAYBE,,"가로경관 지각과 자전거 행태, 음환경 확인 필요",W4398155327,backward,T2,2024,Sustainable Cities and Society,10.1016/j.scs.2024.105525,Beyond built environment: Unveiling the interplay of streetscape perceptions and cycling behavior
141,EXCLUDE,E4,"사운드스케이프 매핑·소음관리 사례, 행태 없음",W2791210678,backward,T2,2017,Noise Mapping,10.1515/noise-2017-0007,Soundscape mapping in environmental noise management and urban planning: case studies in two UK cities
142,MAYBE,,"공원 사운드스케이프 경제가치, 방문행태 사용 여부 확인",W2751084865,backward,T2,2017,Urban forestry & urban greening,10.1016/j.ufug.2017.08.018,Acoustic and economic valuation of soundscape: An application to the ‘Retiro’ Urban Forest Park
143,MAYBE,,"교통 미세환경 체류시간 시간이용, 음환경 확인 필요",W2774853043,backward,T2,2017,Air Quality Atmosphere & Health,10.1007/s11869-017-0532-6,Evaluation of daily time spent in transportation and traffic-influenced microenvironments by urban Canadians
144,MAYBE,,"가로환경과 러닝 행태, 소음 변수 확인 필요",W4382283030,backward,T2,2023,Environment and Planning B Urban Analytics and City Science,10.1177/23998083231185589,The effects of street environment features on road running: An analysis using crowdsourced fitness tracker data and machine learning
145,EXCLUDE,E4,수변 사운드스케이프 기술 지표만,W2521367845,backward,T2,2016,International Journal of Environmental Research and Public Health,10.3390/ijerph13090934,"Acoustic, Visual and Spatial Indicators for the Description of the Soundscape of Waterfront Areas with and without Road Traffic Flow"
146,EXCLUDE,E4,VR 시청각 상호작용 사운드스케이프 지각만,W4220854459,forward,T2,2022,Applied Acoustics,10.1016/j.apacoust.2022.108717,Effect of audio-visual interaction on soundscape in the urban residential context: A virtual reality experiment
147,EXCLUDE,E4,서비스품질 모델 기반 공원 사운드스케이프 평가,W2698975230,forward,T2,2017,Applied Acoustics,10.1016/j.apacoust.2017.06.006,A method for assessing soundscape in urban parks based on the service quality measurement models
148,EXCLUDE,E4,경관패턴 지수와 사운드스케이프 지각만,W2027604489,forward,T2,2014,Journal of Environmental Engineering and Landscape Management,10.3846/16486897.2014.911181,"LANDSCAPE SPATIAL PATTERN INDICES AND SOUNDSCAPE PERCEPTION IN A MULTI-FUNCTIONAL URBAN AREA, GERMANY"
149,EXCLUDE,E4,공원-광장 경로 사운드스케이프 지각 조사,W2529092210,backward,T2,2016,Applied Acoustics,10.1016/j.apacoust.2016.10.002,Soundscape research on the Gezi Park – Tunel Square route
150,MAYBE,,"교외공원 방문객 선호·행태 변화, 음환경 확인 필요",W1481440325,backward,T2,2013,Natural Resources Forum,10.1111/1477-8947.12025,Improving visitor management approaches for the changing preferences and behaviours of country park visitors in<scp>H</scp>ong<scp>K</scp>ong
151,MAYBE,,"시각환경과 조깅 행태 GPS, 음환경 확인 필요",W4392858280,forward,T2,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128291,How does visual environment affect outdoor jogging behavior? Insights from large-scale city images and GPS trajectories
152,EXCLUDE,E4,녹지 사운드스케이프 다양성 지수 평가만,W4385372905,forward,T2,2023,Ecological Indicators,10.1016/j.ecolind.2023.110725,"Soundscape diversity: Evaluation indices of the sound environment in urban green spaces – Effectiveness, role, and interpretation"
153,MAYBE,,"이동기반 센싱 소음지각, 행태 데이터 확인 필요",W4403929813,forward,T2,2024,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2024.102204,Machine-based understanding of noise perception in urban environments using mobility-based sensing data
154,EXCLUDE,E3,"보행 접근성 지수 산출, 음환경 없음",W3092565342,forward,T2,2020,ISPRS International Journal of Geo-Information,10.3390/ijgi9100586,Urban Green Accessibility Index: A Measure of Pedestrian-Centered Accessibility to Every Green Point in an Urban Area
155,EXCLUDE,E4,"도시 음환경 요소로서 새소리 사례, 행태 없음",W2023120818,forward,T2,2014,Acta acustica united with Acustica,10.3813/aaa.918726,Birdsong As an Element of the Urban Sound Environment: A Case Study Concerning the Area of Warnemünde in Germany
156,MAYBE,,"수변공간 질과 러닝·사이클링, 음환경 확인 필요",W4403660969,forward,T2,2024,Sustainable Cities and Society,10.1016/j.scs.2024.105929,Healthy urban blue space design: Exploring the associations of blue space quality with recreational running and cycling using crowdsourced data
157,EXCLUDE,E4,경관요소 통한 공원 음환경 이해만,W3038108769,backward,T2,2020,Environmental Technology & Innovation,10.1016/j.eti.2020.100998,Understanding the soundscape environment of an urban park through landscape elements
158,EXCLUDE,E4,"유럽-중국 사운드스케이프 경험 비교, 지각만",W4386757019,forward,T2,2023,The Journal of the Acoustical Society of America,10.1121/10.0020842,Soundscape experience of public spaces in different world regions: A comparison between the European and Chinese contexts via a large-scale on-site survey
159,EXCLUDE,E4,교통소음 건강수명 손실 추정,W3094413904,forward,T2,2020,Environmental Science and Pollution Research,10.1007/s11356-020-11190-4,Exposure to the road traffic noise in an urban complex in Greece: the quantification of healthy life years lost due to noise-induced annoyance and noise-induced sleep disturbances
160,EXCLUDE,E4,공원 사운드스케이프 평가·설계 시사만,W3119992090,forward,T2,2021,Land,10.3390/land10010066,Evaluation of Soundscapes in Urban Parks in Olsztyn (Poland) for Improvement of Landscape Design and Management
161,EXCLUDE,E4,"사운드스케이프 인지 지속성, 지각만",W2962608096,forward,T2,2019,Sustainable Cities and Society,10.1016/j.scs.2019.101706,Cognitive persistence of soundscape in urban parks
162,EXCLUDE,E4,"고전 시가 속 사운드스케이프 공간패턴, 행태 없음",W4399391962,forward,T2,2024,Humanities and Social Sciences Communications,10.1057/s41599-024-03251-7,Historical sensing: the spatial pattern of soundscape occurrences recorded in poems between the Tang and the Qing Dynasties amid urbanization
163,EXCLUDE,E2,"지하상가 실내 세팅, 주관적 음량·쾌적성",W2016683276,backward,T2,2012,The Science of The Total Environment,10.1016/j.scitotenv.2012.06.105,Effects of individual sound sources on the subjective loudness and acoustic comfort in underground shopping streets
164,EXCLUDE,E4,"중국-크로아티아 공공공간 사운드스케이프 비교, 지각만",W3004507969,forward,T2,2020,Applied Sciences,10.3390/app10030960,Cross-National Comparison of Soundscape in Urban Public Open Spaces between China and Croatia
165,EXCLUDE,E4,자연음 심리생리 반응만,W4401073235,forward,T2,2024,Scientific Reports,10.1038/s41598-024-67812-1,Effects of different natural soundscapes on human psychophysiology in national forest park
166,MAYBE,,"환경요소와 보행속도, 음환경 변수 확인 필요",W3158484175,forward,T2,2021,Land,10.3390/land10050459,Environmental Features Influence Walking Speed: The Effect of Urban Greenery
167,EXCLUDE,E4,"주거 교통소음·성가심, 옥외 행태 없음",W2804039867,forward,T2,2018,International Journal of Environmental Research and Public Health,10.3390/ijerph15051036,"Home as a Place of Noise Control for the Elderly? A Cross-Sectional Study on Potential Mediating Effects and Associations between Road Traffic Noise Exposure, Access to a Quiet Side, Dwelling-Related Green and Noise Annoyance"
168,MAYBE,,"봉쇄기 녹지 이용 변화, 음환경 속성 확인 필요",W4220685444,forward,T2,2022,Frontiers in Ecology and Evolution,10.3389/fevo.2022.804443,Changes in Green Space Use During a COVID-19 Lockdown Are Associated With Both Individual and Green Space Characteristics
169,EXCLUDE,E3,"고온과 옥외활동 시간, 음환경 변수 없음",W4287218946,forward,T2,2022,Frontiers in Public Health,10.3389/fpubh.2022.955077,Analysis of the impact of urban summer high temperatures and outdoor activity duration on residents' emotional health: Taking hostility as an example
170,MAYBE,,"보행네트워크 평가지표, 소음 항목·보행량 확인 필요",W4292336504,forward,T2,2022,Sustainability,10.3390/su141610306,"Walkable Cities: Using the Smart Pedestrian Net Method for Evaluating a Pedestrian Network in Guimarães, Portugal"
171,MAYBE,,"인간활동음 지수와 공공공간 사운드스케이프, 역방향 가능",W3195082229,backward,T2,2021,The Science of The Total Environment,10.1016/j.scitotenv.2021.149869,Effects of a human sound-based index on the soundscapes of urban open spaces
172,EXCLUDE,E4,물리 지표 기반 음환경 분류만,W2078813713,forward,T2,2015,The Journal of the Acoustical Society of America,10.1121/1.4904555,Describing and classifying urban sound environments with a relevant set of physical indicators
173,EXCLUDE,E5,조사 프로토콜 비교 방법론 연구,W3195506832,forward,T2,2021,Sustainable Cities and Society,10.1016/j.scs.2021.103259,Compatibility of quantitative and qualitative data-collection protocols for urban soundscape evaluation
174,EXCLUDE,E4,"소음 성가심과 주관적 건강, 행태 없음",W2027973878,forward,T2,2013,Journal of Environmental Planning and Management,10.1080/09640568.2013.859129,"Objective exposure to road traffic noise, noise annoyance and self-rated poor health – framing the relationship between noise and health as a matter of multiple stressors and resources in urban neighbourhoods"
175,MAYBE,,"공원 신체활동 기회 관찰, 음환경 변수 확인 필요",W2800269591,forward,T2,2018,International Journal of Environmental Research and Public Health,10.3390/ijerph15040815,"How Urban Parks Offer Opportunities for Physical Activity in Dublin, Ireland"
176,EXCLUDE,E4,교외 산림공원 사운드스케이프 시공간 변이만,W4307241118,backward,T2,2022,Urban forestry & urban greening,10.1016/j.ufug.2022.127766,Research on spatiotemporal variation characteristics of soundscapes in a newly established suburban forest park
177,EXCLUDE,E4,고가도로변 사운드스케이프 특성·지각만,W4283018905,backward,T2,2022,Sustainable Cities and Society,10.1016/j.scs.2022.103996,"Characteristics and perception evaluation of the soundscapes of public spaces on both sides of the elevated road: A case study in Suzhou, China"
178,EXCLUDE,E4,녹지 청각-시각 상호작용 음환경 쾌적성만,W4292473520,backward,T2,2022,Forests,10.3390/f13081262,Improving Soundscape Comfort in Urban Green Spaces Based on Aural-Visual Interaction Attributes of Landscape Experience
179,EXCLUDE,E4,맥락요인이 사운드스케이프 지각에 미친 영향만,W2588184096,backward,T2,2017,Applied Sciences,10.3390/app7020173,Analysis of Field Data to Describe the Effect of Context (Acoustic and Non-Acoustic Factors) on Urban Soundscapes
180,MAYBE,,"공원 이용·방문객 활동 디지털 기록, 음환경 확인 필요",W2033080837,backward,T2,2010,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2010.05.007,Digital representation of park use and visual analysis of visitor activities
181,EXCLUDE,E4,경관요인의 주거 사운드스케이프 개선 지각만,W4293479097,backward,T2,2022,Landscape and Urban Planning,10.1016/j.landurbplan.2022.104534,Potential mutual efforts of landscape factors to improve residential soundscapes in compact urban cities
182,MAYBE,,"가로환경과 자전거 통행량, 소음 변수 확인 필요",W4408197716,backward,T2,2025,Journal of Transport Geography,10.1016/j.jtrangeo.2025.104179,Deciphering urban cycling: Analyzing the nonlinear impact of street environments on cycling volume using crowdsourced tracker data and machine learning
183,EXCLUDE,E4,"보행자 교통소음 사운드스케이프 평가, 지각만",W3021292134,forward,T2,2020,Environmental Impact Assessment Review,10.1016/j.eiar.2020.106399,Spatial variations in pedestrian soundscape evaluation of traffic noise
184,MAYBE,,"동반자 요인과 사운드스케이프 평가, 사회적 맥락 확인",W3137089822,backward,T2,2021,Sustainable Cities and Society,10.1016/j.scs.2021.102860,The influence of companion factors on soundscape evaluations in urban public spaces
185,EXCLUDE,E2,요양원 실내 활동공간 음환경,W3129478851,forward,T2,2021,Applied Acoustics,10.1016/j.apacoust.2021.107932,"Acoustic environment of comprehensive activity spaces in nursing homes: A case study in Harbin, China"
186,EXCLUDE,E4,도시규모별 교통소음 수준 변이만,W3162558775,forward,T2,2021,Environmental Research,10.1016/j.envres.2021.111303,Variability of traffic noise pollution levels as a function of city size variables
187,EXCLUDE,E5,"차량 교통 집단행동 모델링, 음환경·행태 아님",W3176266863,forward,T2,2021,Royal Society Open Science,10.1098/rsos.201808,A paradox of traffic and extra cars in a city as a collective behaviour
188,EXCLUDE,E1,도시숲 생물음 대상 생태음향 분석,W4296124151,forward,T2,2022,Ecological Indicators,10.1016/j.ecolind.2022.109437,Assessing the effect of human activities on biophony in urban forests using an automated acoustic scene classification model
189,EXCLUDE,E4,증강 사운드스케이프 정서반응 데이터셋,W4321487962,forward,T2,2023,IEEE Transactions on Affective Computing,10.1109/taffc.2023.3247914,ARAUS: A Large-Scale Dataset and Baseline Models of Affective Responses to Augmented Urban Soundscapes
190,CANDIDATE,,"활동맥락이 개인 음노출에 미친 영향, 시간지리학",W3093044742,forward,T2,2020,Environment and Planning B Urban Analytics and City Science,10.1177/2399808320965243,The effects of activity-related contexts on individual sound exposures: A time–geographic approach to soundscape studies
191,EXCLUDE,E4,교통소음 저항성과 도시형태 관계만,W2330771607,forward,T2,2015,Acta acustica united with Acustica,10.3813/aaa.918848,On the Relationship between Traffic Noise Resistance and Urban Morphology in Low-Density Residential Areas
192,EXCLUDE,E4,"공원 웰빙·사운드스케이프 분석, 행태 없음",W3136526584,forward,T2,2021,International Journal of Environmental Research and Public Health,10.3390/ijerph18062972,Redefinition of Park Design Criteria as a Result of Analysis of Well-Being and Soundscape: The Case Study of the Kortowo Park (Poland)
193,MAYBE,,"미시 가로환경과 관광객 보행행태, 음환경 확인 필요",W4313430846,forward,T2,2022,Buildings,10.3390/buildings12122248,"Impacts of Micro-Scale Built Environment Features on Tourists’ Walking Behaviors in Historic Streets: Insights from Wudaoying Hutong, China"
194,EXCLUDE,E4,"인위소음 변이 분해·요인 분석, 행태 없음",W2613394824,forward,T2,2017,The Science of The Total Environment,10.1016/j.scitotenv.2017.04.229,Decomposing an urban soundscape to reveal patterns and drivers of variation in anthropogenic noise
195,EXCLUDE,E4,시청각·온열 쾌적성과 심리회복만,W4406660503,forward,T2,2025,Building and Environment,10.1016/j.buildenv.2025.112597,"Reclaiming winter: How visual, thermal, and acoustic comfort shape psychological restoration in severe cold urban parks"
196,MAYBE,,"유니버설디자인과 이동성·사회통합, 실증·음환경 확인 필요",W4407565257,forward,T2,2025,Urban Science,10.3390/urbansci9020046,Enhancing Urban Mobility for All: The Role of Universal Design in Supporting Social Inclusion for Older Adults and People with Disabilities
197,EXCLUDE,E4,공원 방문객 사운드스케이프 지각 측정만,W4391401641,backward,T2,2024,PeerJ,10.7717/peerj.16592,Understanding park visitors’ soundscape perception using subjective and objective measurement
198,EXCLUDE,E4,녹지 가시성과 소음 성가심·선호만,W3037360210,forward,T2,2020,Applied Acoustics,10.1016/j.apacoust.2020.107474,Comparing the effects of visibility of different neighborhood greenery settings on the preference ratings and noise annoyance responses to road traffic noises
199,EXCLUDE,E4,마이크 높이·도시형태별 소음노출 측정,W3049369609,forward,T2,2020,Environmental Research,10.1016/j.envres.2020.110055,Evaluation of exposure to road traffic noise: Effects of microphone height and urban configuration
200,EXCLUDE,E4,수경시설의 사운드스케이프 평가 효과만,W3107929640,forward,T2,2020,Frontiers in Psychology,10.3389/fpsyg.2020.570797,A Tale of Three Misters: The Effect of Water Features on Soundscape Assessments in a Montreal Public Space
201,EXCLUDE,E4,건강회복 사운드스케이프 판별기준 개발,W3173499699,forward,T2,2021,The Science of The Total Environment,10.1016/j.scitotenv.2021.148541,Development and application of practical criteria for the recognition of potential Health Restoration Soundscapes (HeReS) in urban greenspaces
202,EXCLUDE,E4,"객관·주관 소음노출 관계, 행태 없음",W2784889792,forward,T2,2018,Local Environment,10.1080/13549839.2018.1428791,The relation between objective and subjective exposure to traffic noise around two suburban highway viaducts in Ghent: lessons for urban environmental policy
203,EXCLUDE,E4,수변 물소리 마스킹과 이용자 기대 부합만,W3120811361,forward,T2,2021,Sustainability,10.3390/su13010371,"Sound Water Masking to Match a Waterfront Soundscape with the Users’ Expectations: The Case Study of the Seafront in Naples, Italy"
204,EXCLUDE,E5,"음환경 표현 도구 제안, 방법론 연구",W1233529392,forward,T2,2015,Landscape and Urban Planning,10.1016/j.landurbplan.2015.08.013,The acoustic summary as a tool for representing urban sound environments
205,EXCLUDE,E5,사운드스케이프 워크숍 실무 연계 논의,W2996158888,forward,T2,2019,Journal of Urban Design,10.1080/13574809.2019.1699399,Sounds in the city: bridging the gaps from research to practice through soundscape workshops
206,EXCLUDE,E5,도시숲 사운드스케이프 개관·에디토리얼 성격,W4311521677,forward,T2,2022,Forests,10.3390/f13122056,Soundscape in Urban Forests
207,EXCLUDE,E4,가로경관과 체감안전·미적 평가 지각만,W4378009309,forward,T2,2023,Journal of Urban Planning and Development,10.1061/jupddm.upeng-4314,Measuring the Effects of Streetscape Characteristics on Perceived Safety and Aesthetic Appreciation of Pedestrians
208,MAYBE,,"공원 설계특성과 보행행태, 음환경 변수 확인 필요",W4387060374,forward,T2,2023,Land,10.3390/land12101838,"Design Characteristics, Visual Qualities, and Walking Behavior in an Urban Park Setting"
209,MAYBE,,"보행 발자국음이 공원 사운드스케이프에 미친 영향, 역방향",W2510364949,backward,T2,2016,Journal of Environmental Engineering and Landscape Management,10.3846/16486897.2016.1172076,THE EFFECT OF WALKING SOUNDS FROM DIFFERENT WALKED-ON MATERIALS ON THE SOUNDSCAPE OF URBAN PARKS
210,EXCLUDE,E4,산림 유형별 사운드스케이프 쾌적성 지각만,W2970126706,backward,T2,2019,Sustainability,10.3390/su11174789,Perceived Occurrences of Soundscape Influencing Pleasantness in Urban Forests: A Comparison of Broad-Leaved and Coniferous Forests
211,EXCLUDE,E4,음환경 유형별 스트레스 완화 효과만,W4313895348,forward,T2,2023,International Journal of Environmental Research and Public Health,10.3390/ijerph20021082,Effects of Acoustic Environment Types on Stress Relief in Urban Parks
212,MAYBE,,"녹지 속성과 방문량·만족도, 음환경 포함 확인 필요",W4404120440,forward,T2,2024,Cities,10.1016/j.cities.2024.105543,How do urban green space attributes affect visitation and satisfaction? An empirical study based on multisource data
213,EXCLUDE,E4,도시규모별 주민 사운드스케이프 지각 차이만,W4387081147,forward,T2,2023,Applied Acoustics,10.1016/j.apacoust.2023.109659,"City, town, village: Potential differences in residents soundscape perception using ISO/TS 12913-2:2018"
214,MAYBE,,"녹지·열환경과 조깅 활동, 음환경 변수 확인 필요",W4405834979,forward,T2,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128655,Urban greenery distribution and its heat mitigation effect on outdoor jogging activities
215,MAYBE,,역사지구 사운드스케이프 설계 · 행태 결과 불명,W4404259651,forward,T2,2024,Heritage Science,10.1186/s40494-024-01515-8,Enhancing authenticity in historic districts via soundscape design
216,MAYBE,,공공공간 보행·체류 현장실험 · 음환경 여부 불명,W3082795063,forward,T2,2020,Environment and Behavior,10.1177/0013916520953147,The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment
217,MAYBE,,노인 보행활동·근린환경 · 소음 변수 포함 가능,W4307548861,forward,T2,2022,Sustainability,10.3390/su142113927,The Impact of the Neighborhood Built Environment on the Walking Activity of Older Adults: A Multi-Scale Spatial Heterogeneity Analysis
218,EXCLUDE,E4,공간·시각·후각→사운드스케이프 · 행태 없음,W4313502567,forward,T2,2022,Forests,10.3390/f14010010,The Effects of Spatial Characteristics and Visual and Smell Environments on the Soundscape of Waterfront Space in Mountainous Cities
219,MAYBE,,코로나기 자전거 이용 행태 · 음환경 변수 불명,W4311134471,backward,T2,2022,Journal of Transport Geography,10.1016/j.jtrangeo.2022.103510,The role of neighbourhood design in cycling activity during COVID-19: An exploration of the Melbourne experience
220,CANDIDATE,,다감각 지각→가로 공공활동 실증 연구,W4405934045,forward,T2,2024,Land,10.3390/land14010050,The Influence of Multi-Sensory Perception on Public Activity in Urban Street Spaces: An Empirical Study Grounded in Landsenses Ecology
221,MAYBE,,집합적 보행행태·건조환경 · 음환경 포함 불명,W4396666466,forward,T2,2024,Applied Geography,10.1016/j.apgeog.2024.103274,Association between built environment factors and collective walking behavior in peri-urban area: Evidence from Chengdu
222,EXCLUDE,E4,보행 중 사운드스케이프 쾌적성 추정 · 행태 결과 없음,W2587033106,forward,T2,2017,Applied Sciences,10.3390/app7020144,Global and Continuous Pleasantness Estimation of the Soundscape Perceived during Walking Trips through Urban Environments
223,MAYBE,,도시녹지 자연관찰 활동 · 음환경 관련성 불명,W2974102511,forward,T2,2019,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2019.100227,Perceived importance of and satisfaction with nature observation activities in urban green areas
224,EXCLUDE,E4,소음지도 크라우드소싱 측정 · 행태 없음,W4391486819,forward,T2,2024,Urban Science,10.3390/urbansci8010013,Investigating Noise Mapping in Cities to Associate Noise Levels with Sources of Noise Using Crowdsourcing Applications
225,EXCLUDE,E4,스트레스 완화(심리·생리)만 · 철회 논문,W3215927360,forward,T2,2021,Land,10.3390/land10121323,RETRACTED: The Effects of Soundscapes in Relieving Stress in an Urban Park
226,MAYBE,,도시녹지 여가활동·정신건강 · 음환경 불명,W4394943491,forward,T2,2024,Ecosystem Health and Sustainability,10.34133/ehs.0199,Effective Recreational Activities in Urban Green Spaces for Mental Health of Scientific Researchers
227,EXCLUDE,E4,식생→사운드스케이프 · 행태 결과 없음,W2936417497,backward,T2,2019,Building and Environment,10.1016/j.buildenv.2019.03.046,Effects of vegetation on soundscape of an urban religious precinct: Case study of Myeong-dong cathedral in Seoul
228,EXCLUDE,E4,산림공원 사운드스케이프 선호 지각만,W4311519689,forward,T2,2022,Sustainability,10.3390/su142316132,Soundscape Perception Preference in an Urban Forest Park: Evidence from Moon Island Forest Park in Lu’an City
229,EXCLUDE,E4,사운드스케이프 질·회복성 평가만,W4402875622,forward,T2,2024,Building and Environment,10.1016/j.buildenv.2024.112106,Automating urban soundscape enhancements with AI: In-situ assessment of quality and restorativeness in traffic-exposed residential areas
230,EXCLUDE,E4,열·음환경→심리적 회복만,W4411048490,forward,T2,2025,Building and Environment,10.1016/j.buildenv.2025.113269,Seeking comfort in the urban heat: Unraveling the effects of thermal-acoustic environments on psychological restoration in urban greenways
231,MAYBE,,지중해 도시 음다양성 · 행태 포함 여부 불명,W3157061345,forward,T2,2021,Heritage,10.3390/heritage4020039,Exploring the Effects of “Smart City” in the Inner-City Fabric of the Mediterranean Metropolis: Towards a Bio-Cultural Sonic Diversity?
232,EXCLUDE,E4,음향지표 기반 사운드스케이프 지각 평가만,W4384130927,forward,T2,2023,Forests,10.3390/f14071435,Evaluation of Soundscape Perception in Urban Forests Using Acoustic Indices: A Case Study in Beijing
233,MAYBE,,공원 특성·신체활동 수준 · 음환경 포함 가능,W4398246982,forward,T2,2024,Journal of Urban Management,10.1016/j.jum.2024.05.004,Spatiotemporal association of urban park characteristics and physical activity levels based on GTWR: A serial cross-sectional observational study
234,EXCLUDE,E4,교통소음 노출 추세분석 · 행태 없음,W2318560827,forward,T2,2015,Polish Journal of Environmental Studies,10.15244/pjoes/31226,Road Traffic Noise Exposure in the City of Novi Sad: Trend Analysis and Possible Solutions
235,EXCLUDE,E4,캠퍼스 사운드스케이프→정서적 웰빙만,W4405968516,forward,T2,2024,Buildings,10.3390/buildings15010079,The Impact of Campus Soundscape on Enhancing Student Emotional Well-Being: A Case Study of Fuzhou University
236,EXCLUDE,E4,주거단지 옥외 사운드스케이프 평가만,W4389397277,forward,T2,2023,The Journal of the Acoustical Society of America,10.1121/10.0022531,Characterization of soundscape assessment in outdoor public spaces of urban high-rise residential communities
237,EXCLUDE,E4,경관요소 기반 사운드스케이프 최적화 · 행태 없음,W4382459551,forward,T2,2023,Sustainability,10.3390/su151310155,Soundscape Optimization Strategies Based on Landscape Elements in Urban Parks: A Case Study of Greenlake Park in Kunming
238,EXCLUDE,E4,그린웨이 사운드스케이프 지각 특성·요인만,W4394566125,forward,T2,2024,Forests,10.3390/f15040670,A Study on the Characteristics and Influencing Factors of Soundscape Perception in Landscape Spaces of Urban Greenways
239,EXCLUDE,E4,생리지표 기반 사운드스케이프 질 측정,W4394910338,forward,T2,2024,Building and Environment,10.1016/j.buildenv.2024.111549,Measuring soundscape quality of urban environments using physiological indicators: Construction of physiological assessment dimensions and comparison with subjective dimensions
240,EXCLUDE,E5,RCT 프로토콜 · 결과 없음(정신생리 지표),W4396668757,forward,T2,2024,BMC Psychology,10.1186/s40359-024-01720-x,Psychophysiological effects of walking in forests and urban built environments with disparate road traffic noise exposure: study protocol of a randomized controlled trial
241,MAYBE,,수목형 녹지 부정지각·이용행태 언급 · 음환경 불명,W4403285478,forward,T2,2024,Urban forestry & urban greening,10.1016/j.ufug.2024.128539,Exploring the negative perceptions of tree-based urban green space. People's behaviour and management are crucial
242,EXCLUDE,E3,트위터 이동제한 여론 분석 · 음환경 변수 없음,W4308697801,forward,T2,2022,Cities,10.1016/j.cities.2022.104094,Contesting views on mobility restrictions in urban green spaces amid COVID-19—Insights from Twitter in Latin America and Spain
243,EXCLUDE,E5,사운드스케이프 시뮬레이션 코디자인 도구 개발,W4312055830,forward,T2,2022,Landscape and Urban Planning,10.1016/j.landurbplan.2022.104642,Interactive soundscape simulation as a co-design tool for urban professionals
244,EXCLUDE,E4,주차차선·교통소음 파사드 평가 · 행태 없음,W3006868181,forward,T2,2020,Environmental Research,10.1016/j.envres.2020.109299,Effect of parking lanes on assessing the impact of road traffic noise on building façades
245,MAYBE,,공공공간 사운드 설치물 현장비교 · 행태 측정 불명,W4400980804,forward,T2,2024,Landscape and Urban Planning,10.1016/j.landurbplan.2024.105173,Shaping city soundscapes: In situ comparison of four sound installations in an urban public space
246,EXCLUDE,E4,경관패턴→사운드스케이프 지각만,W4389050824,forward,T2,2023,Forests,10.3390/f14122323,Multi-Scale Effects of Landscape Pattern on Soundscape Perception in Residential Green Spaces
