rec,verdict,reason_code,rationale,boundary_rule,batch,screen1,year,journal,doi,title
329,FINAL_EXCLUDE,X4,"§2.1-2.4 [page 3-5]에서 하얼빈 3개 구 30개 녹지(공원·가로변·광장·캠퍼스 녹지) 표본점의 음원을 훈련된 조사원 6명이 사계절 10일씩 1시간(15분마다 5분) 현장 청취 기록해 사운드스케이프 다양성 지수(SDI·SRI·SEI·SDO)를 산출하고, Fragstats 경관패턴지수·파노라마 경관요소 비율·실험실 설문 30명의 지각 지표와의 상관 및 단계적 회귀(Fig. 8, Table 2 [page 9])를 거쳐 사운드스케이프 쾌적도와의 매개효과를 검정했다(§4.1, Fig. 9 [page 11]). 결과 변수가 사운드스케이프 다양성 지수와 쾌적도뿐이고 이용자의 이동·체류·공간이용·사회행동·활동을 관찰하거나 설문한 자료가 전혀 없어 X4(관찰 가능한 행태 결과 없음)로 배제한다(선례 nft_02 CT0034, nft_04 957). 파노라마 사진의 human 비율과 사회적 경관요소(RLI)는 시각 경관 구성 지표로 쓰였을 뿐 행태 측정이 아니며, '인간 활동 패턴'은 계절 차 해석에만 등장한다([page 12] 결론 (1)). corpus_v4 의 CT0001(하얼빈 중앙대가 군중밀도)과 도시만 같고 표본·자료는 다르다.",,nftb_08,UNCERTAIN,2025,Urban forestry & urban greening,10.1016/j.ufug.2025.128929,"Soundscape diversity in urban green spaces: Spatial-temporal variations, influencing factors and optimization strategies"
335,FINAL_INCLUDE,,"하노버 도심 보도 현장실험 16명 — 5·6절에서 발소리 지연·가속으로 보행속도 조절, 발소리 변경으로 경로안내 검증",,ctft_05,RETRIEVE,2022,i-com,10.1515/icom-2022-0020,EnvironZen: Immersive Soundscapes via Augmented Footstep Sounds in Urban Areas
342,FINAL_EXCLUDE,X4,197지점 SPL·사운드스케이프/스멜스케이프 평정과 방문객 54명 인터뷰(경험·기억·의견)만 측정 — 참배·향피우기는 음원 설명일 뿐,,ctft_05,RETRIEVE,2025,Sustainability,10.3390/su17167564,Sensory Heritage Is Vital for Sustainable Cities: A Case Study of Soundscape and Smellscape at Wong Tai Sin
343,FINAL_EXCLUDE,X3,질적 주제분석 하위주제 목록에 소음 항목 없음. noise는 'Pollution' 대표인용 1건(P57)에만 등장해 음환경이 분석 노출변수가 아님.,,ctft_09,UNCERTAIN,2025,Cities,10.1016/j.cities.2025.106467,Women's walking behavior: Investigating contributing factors in urban contexts
348,FINAL_INCLUDE,,라스팔마스 보행가로에서 카메라·YOLOv8로 군중밀도 계수(3절)해 소음레벨 형성 검증 — 공간이용→음환경 역방향 실증,,ctft_05,RETRIEVE,2025,Sensors,10.3390/s25123604,Noise Levels Due to Commercial and Leisure Activities in Urban Areas: Experimental Validation of a Numerical Model Fed with Crowd Density Estimation Using Computer Vision
356,SENS_ONLY,,PSI 행태매핑으로 현장 활동·이용을 관찰(표2·3)했으나 사운드스케이프 평가는 360° 영상·앰비소닉을 자택 재생으로 수행,P1,ctft_05,RETRIEVE,2025,Journal of Urbanism International Research on Placemaking and Urban Sustainability,10.1080/17549175.2025.2529175,Soundscape and public realm – a quasi-experimental comparison between Individual Vocabulary Profiling and Public Space Index assessments during COVID-19 lockdown
360,FINAL_EXCLUDE,X4,"선전 서커우 52.46 km² 격자에서 62개 지점 10분 LAeq 측정(§4.2 [page 7])을 라벨로 POI·AOI·도로·건물·식생·가로영상 28개 지표에서 SPL·음원유형을 준지도학습으로 예측하고 SHAP로 해석한 연구다(§3.2·Table 2, §5.3·Fig. 10–11 [page 12–14]). 참여자·설문·행태 관찰이 전혀 없어 5도메인의 관찰 가능한 행태 결과가 없고, 역방향으로 볼 만한 투입도 가로영상의 차량·트럭 픽셀 비율(Street Vision Context, Table 2 [page 5])과 POI·AOI 밀도 같은 환경·영상 지표일 뿐 이용자 행태 측정이 아니다. 8월 코퍼스의 음향 측정·매핑 전용 연구(599·639·OAS0001·OAS0040) 선례와 같은 X4.",,nftb_04,UNCERTAIN,2026,Computers Environment and Urban Systems,10.1016/j.compenvurbsys.2026.102412,Decoding urban soundscapes: spatial prediction and influence mechanism analysis with interpretable semi-supervised learning
365,FINAL_EXCLUDE,X3,이용자 350명 여가활동·이용실태 설문이나 소음·자연음 등 음환경 변수 전무 — 전문에 sound·noise·acoustic 언급 없음,,ctft_05,RETRIEVE,2024,Journal of Degraded and Mining Lands Management,10.15243/jdmlm.2024.113.5695,"Peri-urban forests: an exploratory study of users' recreational activities: The case of the El Meridj-Est recreational forest in Constantine, Algeria"
369,FINAL_EXCLUDE,X3,"중국 다롄 중심시가지 60세 이상 879명 대면설문(§3.2.1, 2019년 7–10월)과 OSM·Gaode POI·NDVI·블루스페이스 빅데이터로 가로망 속성(교통·사회·자연 3범주, Table 2)이 자택 15분 보행권 활동행태(3범주 13개 활동 수행 수, 평균 8.79)에 미치는 비선형 영향을 GBDT로 분석한 연구다(§3.4·§4.2–4.4, Fig. 4–9). 활동행태(걷기·운동·카드놀이·야외 사교 등 movement·activity·social·space-use)는 풍부하나 전문 어디에도 음환경 노출·조작 변수가 없다 — Table 2 변수 목록과 Table A1(Appendix) 회귀표에 음 지표가 전혀 없고, 전문 검색 결과 'hearing'은 §2.3 노화에 따른 감각 저하 서술이고 §5.2의 'minimize noise'는 모델의 통계적 잡음을 뜻한다. 8월·9월 선례 CT0108(행태지도 관찰은 있으나 소리 변수 부재 → X3)과 같은 구조라 X3.",,nftb_03,UNCERTAIN,2025,Transport Policy,10.1016/j.tranpol.2025.05.015,"Identifying the effect of street network system on activity behaviours near the homes of older adults: An analytical framework integrating transportation, social, and natural attributes"
371,FINAL_INCLUDE,,2.3·3.2절 GPS(Trimble R8·정확도 2cm)로 횡단 궤적 실측; 방향성/비방향성 APS 3종 구성이 노출변수인 시가로 현장실험.,,ctft_06,RETRIEVE,2024,Journal of Transport & Health,10.1016/j.jth.2024.101938,Three pedestrian phasing with audible pedestrian signals configurations: Experience of blind or visually impaired persons in Quebec City (Canada)
373,FINAL_EXCLUDE,X3,"난징 쉬안우호공원 70개 sub-green space에서 파노라마 영상 기반 시각 지표 5종(GVR·SVR·ASR·MFD·PD, Table 1 [page 4])과 자기보고(Table 2)·관찰(SOPARC/SOSIP, Table 3–4) 신체활동·사회적 상호작용을 공간 더빈 모형으로 분석했다(Tables 6–9 [page 8–9]). 관찰 가능한 행태 결과는 충분하나 음환경 노출·측정·조작이 전혀 없다(전문 검색에서 sound/noise/acoustic 은 참고문헌 2건에만 등장) → X3. 코퍼스 CT0414 도 난징 사례이나 접근가능 정원 행태 매핑으로 대상지·표본이 달라 표본 공유 의심 없음.",,nftb_06,UNCERTAIN,2026,Environmental Impact Assessment Review,10.1016/j.eiar.2026.108451,Health-related activity outcomes of visual characteristics in urban green spaces: An on-site comparison between self-reported and observed activities
378,FINAL_EXCLUDE,X4,ACRES 아웃컴이 hinders-stimulates walking·unsafe-safe traffic 평정뿐. 서론에 보행량 대신 지각을 분석한다고 명시. 관찰가능 행태 없음.,,ctft_06,RETRIEVE,2026,International Journal of Environmental Research and Public Health,10.3390/ijerph23020206,Pedestrians’ Perceptions of Motorized Traffic in Suburban–Rural Areas of a Metropolitan Region: Exploring Measurement Perspectives
382,FINAL_EXCLUDE,X4,헤드폰 청취실험 아웃컴이 ISO 12913-2 지각·Emotional Salience·소음성가심 평정뿐(RQ1.1-2.3). 체류시간 등 행태 측정 없음.,,ctft_06,RETRIEVE,2026,Acta Acustica,10.1051/aacus/2026051,Introducing short informational-attentional masking sounds to improve staying in pocket urban parks: a laboratory study
390,FINAL_EXCLUDE,X3,음환경은 NEST Incivilities 9항목 중 noise 1항목뿐이고 그 도메인마저 다중공선성으로 모형 제외(Usability만 투입). 독립 음환경 변수 없음.,,ctft_06,RETRIEVE,2025,Journal of Resources and Ecology,10.5814/j.issn.1674-764x.2025.03.019,"The Impact of Parental and Park Factors on Children's Urban Park Use in Shanghai, China"
391,FINAL_INCLUDE,,"조정: VR 성분이 있으나 실제 캠퍼스 가로 현장실험 자료를 독립적으로 보고하므로(§4.2, F(1,28)=4.25, p=.049) 연구 전체를 실험실 재현으로 보지 않는다 — P1 미적용, 포함 유지. 뮌헨공대 캠퍼스의 실제 편도 1차로 가로(폭 4 m, 일반 통행 차단)에서 청각 차단(귀마개) 집단과 청각 정상 집단이 접근 차량을 보고 물러서는 시점의 TTC 를 라이다로 잰 현장실험이며(§3.1–3.3 [page 4]–[page 7]), 같은 참가자가 동일 장면의 VR 재현본에서도 같은 절차를 수행했다. 실제 가로에서 청각 차단 집단의 수용 TTC 가 0.30 s(약 10%) 짧아 유의했으므로(§4.2 F(1,28)=4.25, p=.049 [page 8]) 옥외 공공공간에서의 음환경–횡단행태 관계가 실증된다. 갈리는 지점: branch=CT 의 VR 성분에 P1 을 적용하면 SENS_ONLY 가 되지만, 본 연구는 VR 재현만이 아니라 실제 가로 현장실험 자료를 독립적으로 보고하므로 실제 가로 성분을 근거로 FINAL_INCLUDE 로 둔다(P1 은 VR 성분에만 해당). corpus_v4_extraction.csv 대조 결과 동일 표본 연구는 없으며, 실제 가로 자료는 코퍼스에 없는 Feldstein & Dyszak(2020)과 원자료를 공유할 가능성이 본문에 시사된다(§4 [page 7], §3.2 [page 5]).",,nftb_10,RETRIEVE,2025,PRESENCE Virtual and Augmented Reality,10.1162/pres.a.8,The Impact of Auditory Traffic Perception on Pedestrians’ Street-Crossing Behavior: Insights from Real and Virtual Environments
395,FINAL_EXCLUDE,X3,"3.5절 모형은 종속=활동·지각 언급비율, 독립=공원요소(자연·시설·혼잡). 음지각(P_sound)은 병렬 결과변수이고 행태의 노출·역방향 예측변수 아님.",,ctft_06,RETRIEVE,2025,Ecological Informatics,10.1016/j.ecoinf.2025.103548,"Associations among park features, physical activities, and sensory perceptions from online reviews: A domain-specific named entity recognition model"
410,FINAL_EXCLUDE,X7,"중국어 학술지(风景园林) 게재 — 등록 언어 기준(영어) 미충족. OpenAlex 영문 제목 때문에 스크리닝에서 미검출, 전문에서 확인",,ctft_06,RETRIEVE,2026,Landscape Architecture,10.3724/j.fjyl.la20250363,Emotional Mediation of the Effect of Urban Park Audiovisual Elements on Leisure-Time Physical Activity
413,FINAL_EXCLUDE,X3,Table 1의 22개 변수는 녹지·대기오염·건물·교통·수공간·지표온도·인구뿐이고 음향 지표 없음. 'noisy'는 결과 해석 서술일 뿐 측정변수 아님.,,ctft_09,UNCERTAIN,2026,Journal of Transport Geography,10.1016/j.jtrangeo.2026.104653,Understanding the cooling and air purification effects of green spaces on running behavior — Evidence from Guangzhou
414,FINAL_INCLUDE,,옥외 접근형 감각정원에서 청각공간 등 감각공간 유형별 통행·여가체류·사회적 상호작용 관찰행태 분포를 행태지도와 카이제곱(Table 4)으로 분석,,ctft_07,RETRIEVE,2026,Frontiers in Psychology,10.3389/fpsyg.2026.1733848,"Behavioral mapping of multisensory experience and engagement in accessible gardens: a case study of Xuanwu Lake Park, Nanjing"
422,FINAL_EXCLUDE,X3,"조깅 궤적 빈도(KEEP 2023년 공개 궤적 7,647건·가로구간 11,207개)를 종속변수로 한 가로 단위 건조환경 연구로, 행태 결과(movement)는 있으나 음환경 노출·조작이 전혀 없다. §3.3·Table 1–4 의 13개 변수는 GSD·BD·LUM·NC·BGA·SFA·TP(거시), GVI·VR·CA·SO(가로영상 시각지표), PD·HP(맥락 공변량)뿐이고 전문 어디에도 소음·음향·사운드스케이프 지표가 없다(본문 중 'noise' 단 1회는 §3.4 LOWESS 평활의 통계적 'local noise' 로 음환경과 무관). 음환경이 통제변수로도 들어가지 않으므로 P3 이 아니라 노출 자체 부재로 X3.",,nftb_02,UNCERTAIN,2026,Sustainable Cities and Society,10.1016/j.scs.2026.107693,Prioritizing jogging-friendly streets in active mobility planning: A decision-support framework integrating trajectory evidence and expert judgment
428,FINAL_EXCLUDE,X4,CAVE 실내 실험이며 아웃컴은 1–7 선호 연속평정뿐. LAeq·음원 노출은 측정했으나 보행속도·체류 등 관찰가능 행태 측정 없음.,,ctft_09,UNCERTAIN,2026,Building and Environment,10.1016/j.buildenv.2026.115060,Dynamic Audio-Visual Preference in Waterfront Walking Environments: Effects of Distance-Layered Spatial Structure and Soundscape
