uid,item,item_no,verdict,rationale
666,3.1 participants representative of the target population,3.1,N,"2.3.1: 변산 축소를 위해 동일 대학 건축·도시·음향 전공 학생 30명만 선발, 공원 이용자 대표성 낮음"
666,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"2.3.2/2.5: 문헌 기반 지표·감정·인지 5점 척도, 지점별 LAeq 등 음향지표와 360도 영상 행동 계수 병행"
666,3.3 complete outcome data,3.3,Y,"2.3.3/3: 30명 전원 60개 자극 평가 완료, 평균 관측 5회 미만 활동만 사전 기준으로 분석 제외"
666,3.4 confounders accounted for in design and analysis,3.4,CT,2.3.3: 피험자 내 설계와 목적 비공개로 편의를 줄였으나 A1→J4 고정 순서 제시로 순서효과 역균형 없음
666,3.5 exposure/intervention administered as intended,3.5,Y,"2.3.3: 배경소음 30 dBA 반무향실에서 동일 HMD·헤드폰으로 전원 동일 조건 제시, 자극 간 10초 무음 삽입"
694,4.1 sampling strategy relevant to address research question,4.1,Y,"2.3 Survey: 두 지점에서 퇴출 통행자를 무선별 접근해 주중 5일 현장 설문, 대상 공간 이용자 포착에 부합"
694,4.2 sample representative of the target population,4.2,CT,"2.4: 유효 109명 중 자전거 이용자 80% 편중, 주중 주간만 조사되어 이용자 대표성 검증 불가"
694,4.3 measurements appropriate,4.3,CT,"2.3: 사운드스케이프는 ISO/TS 12913-2, 소음민감도는 검증된 축약 Weinstein 척도이나 핵심 COVID 태도 4문항은 저자 임의 작성"
694,4.4 risk of nonresponse bias low,4.4,N,"2.3: 접근한 사람 4명 중 1명만 참여(약 25%), 미참여자 특성 비교 없음, 헤드폰 착용자 사전 제외"
694,4.5 statistical analysis appropriate to answer research question,4.5,Y,"3.1/3.2: 단조성 확인 후 Spearman, 기대빈도 점검한 카이제곱, OR·95% CI 로지스틱 회귀 보고"
709,3.1 participants representative of the target population,3.1,Y,"음향·방문객 수 분석은 탐방로 전체 방문객을 대상으로 한 연속 측정이고, 설문은 주말·주중·시간대·처치/대조 기간을 층화해 출구에서 절편 표집하고 집단 내 가장 최근 생일자를 선택해 자기선택 편향을 줄였다(§2.3 [page 5]). 다만 응답률 55%이고 설문은 마지막 2주에만 시행됐으며(§4 한계 [page 11]) 보행속도 측정 대상자 선정 방법은 서술되지 않았다(§2.3 [page 7])."
709,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"L50는 교정 정확도가 검증된 소비자급 녹음기(Mennitt & Fristrup 2012)로 13개 ARU에서 21,038시간 연속 측정해 NPS 도구로 변환했고(§2.1 [page 4]), 방문객 수는 주 1회 1시간 관찰로 보정계수를 산출한 계수기, 보행속도는 9개 구간(23.6–59.1 m) 표지 간 시간 측정이다(§2.1 [page 4–5], §2.3 [page 7]). 안내판이 유도한 정숙 행동 자체(음성 크기·전자기기 사용)는 직접 측정하지 않았다."
709,3.3 complete outcome data,3.3,Y,"음향 자료는 하천 유량 차이로 1주차, 폭우로 2016년 4월 9일만 사유와 함께 제외했고(§2.1 [page 4]) 보행속도는 극단값 1건만 제외했다(§3.3 [page 8]). 설문 하위분석은 방법(쾌적성 n = 434, 자연음 청취 n = 535)과 결과(n = 453, Table 2 합계 453)의 n이 일치하지 않는 약점이 있다(§2.3 [page 6–7], §3.3 [page 8])."
709,3.4 confounders accounted for in design and analysis,3.4,Y,"주 단위 교대 블록으로 계절 추세를 분산했고 하천 유량 차이(AOV F9,60 = 5.575)로 1주차를 제외했으며, GAM에 방문객 수(log10)와 시간대 평활항을 함께 넣어 처치 효과를 추정했다(§2.1 [page 4–5], §3.1 [page 8]). 보행속도 비교에서는 조건 간 집단 크기가 같음을 확인했다(§3.3 [page 8]). 다만 일평균 L50 Wilcoxon 비교는 방문객 수를 보정하지 않았고 요일·기상은 모형에 없다."
709,3.5 exposure/intervention administered as intended,3.5,Y,"19개 안내판을 10주간 주 단위로 설치·미설치 교대하고 미설치 주에는 기존 정숙 안내판을 가렸으며(§2.1 [page 4], Figure 1) 일정 이탈·훼손 보고는 없다. 방문객의 안내판 인지 여부는 확인하지 않았고, 저자는 안내판이 설문 응답을 점화했을 가능성을 한계로 적었다(§4 [page 11])."
713,4.1 sampling strategy relevant to address research question,4.1,Y,"§2.1·§3.1: 공원 5개 시설 위치에 방문객을 30명씩 배분해 위치 간 음환경·지각 비교라는 질문에 맞춘 표집(단, 접근·선정 방법은 기술하지 않음)."
713,4.2 sample representative of the target population,4.2,N,§2.1·§3.1: 맑은 평일 하루에만 조사했고 남성 28.7%·매일 방문 49.3%로 치우쳤으며 방문객 모집단과의 비교가 없음.
713,4.3 measurements appropriate,4.3,Y,"§2.1.1–2.1.2: B&K 2270 분석기 10분 측정과 ISO 532-1 라우드니스 산출, 방문빈도·체류시간 자기보고와 5점 의미분별 척도를 사용(음향은 위치당 1회 측정)."
713,4.4 risk of nonresponse bias low,4.4,CT,§3.1: 위치별 '유효' 설문 30부만 보고하고 거절·무효 응답 수와 무응답 특성은 보고하지 않음.
713,4.5 statistical analysis appropriate to answer research question,4.5,N,"§2.2·Table 4·Table 7: 위치당 1개 음향값을 응답자 150명에 붙여 독립 관측처럼 상관 분석하고 단계적 회귀를 썼으며, Table 4 계수 1.83·Table 7 SEB 0.60(CI 와 불일치) 등 보고 오류가 있음."
724,5.1 adequate rationale for using a mixed methods design,5.1,CT,4. Methodology: 혼합방법·리듬분석 사용을 밝히나 정성·정량 통합이 필요한 이유를 명시하지 않음
724,5.2 components effectively integrated to answer research question,5.2,Y,Table 1·Fig 3-7: 양이 녹음 스펙트로그램의 박자·소리표지를 파란자 동작과 지휘 구령에 동기화해 결합
724,5.3 outputs of integration adequately interpreted,5.3,CT,5.3: 면접 결과를 코드·빈도 없이 서술해 통합 산출물의 해석 근거가 제한적
724,5.4 divergences and inconsistencies adequately addressed,5.4,CT,5.2/5.3: LAeq 81-108 dB(A) 고소음에도 만족했다는 불일치를 한 문장으로 언급할 뿐 추가 해석 없음
724,5.5 components adhere to quality criteria of each tradition,5.5,N,"4: 120명 면접의 코딩틀·신뢰도·포화 미보고, 녹음 표본수 미기재, 2011년 면접과 2019년 관찰의 시차 미논의"
725,4.1 sampling strategy relevant to address research question,4.1,Y,Methods: 팬데믹 중 온라인 플랫폼으로 광저우·선전 6개월 이상 거주 18-65세를 선별 모집해 연구질문에 부합
725,4.2 sample representative of the target population,4.2,N,"Table 1/Limitations: 여성 64.5%·18-34세 71.3%·학사 69.4% 편중, 저자도 고령·저소득·비인터넷층 배제를 인정"
725,4.3 measurements appropriate,4.3,Y,"Survey Instrument: 검증된 Williams·Vaske 장소애착 척도 사용, Cronbach α>0.8과 CFA의 CR·AVE로 신뢰도·타당도 확인"
725,4.4 risk of nonresponse bias low,4.4,N,"Results: 회수분 기준 유효율 99.68%만 보고, 배포 대상 수 미상이라 무응답률 산출 불가·온라인 자기선택"
725,4.5 statistical analysis appropriate to answer research question,4.5,Y,"Statistical Analyses: VIF 점검 다중회귀, 부트스트랩 2000회 매개분석, GFI·AGFI·RMSEA·CFI 적합도 보고"
726,5.1 adequate rationale for using a mixed methods design,5.1,Y,2.4.2/2.4.3: 에세이 정성 코딩으로 도출한 범주를 빈도화해 두 군 가설을 검증한다고 목적 명시
726,5.2 components effectively integrated to answer research question,5.2,Y,Table 2-3: 개방코딩 범주를 군별 빈도·카이제곱·Cramer V로 비교하고 유의 결과마다 참가자 인용을 대응 배치
726,5.3 outputs of integration adequately interpreted,5.3,Y,3.1/4.1-4.2: 청각요소·내성·정서변화·사회적 상호작용의 통계 결과를 인용문과 함께 해석
726,5.4 divergences and inconsistencies adequately addressed,5.4,CT,3.1: 가설1의 치유요인 다양성이 청각요소 외에는 미지지되었으나 이 불일치를 논의에서 다루지 않음
726,5.5 components adhere to quality criteria of each tradition,5.5,N,"2.4.2/4.3: 코더 간 신뢰도 미산출을 저자가 인정, 군을 아는 저자 2인이 코딩, 37명이 쓴 에세이 111편을 독립표본으로 카이제곱"
732,4.1 sampling_strategy_relevant,4.1,Y,2.1 Sites: 유형이 다른 4개 공공공간에서 현장 개입 설문을 수행해 맥락요인 연구질문에 부합
732,4.2 sample_representative,4.2,CT,"2.1/2.3: 표본틀 없는 편의표집, 대상지별 N이 1130 대 41로 불균형, 몬트리올 한 지구 한정"
732,4.3 measurements_appropriate,4.3,Y,"2.2: SSQP 등 기존 검증 척도 사용, 불어·영어판 측정동등성(metric invariance) 검정"
732,4.4 nonresponse_bias_low,4.4,CT,"2.4: 결측률(1.3~6.1%)만 보고하고 접근 대비 응답·거부율 미보고, 결측은 평균대치"
732,4.5 statistical_analysis_appropriate,4.5,Y,"2.4: 비정규 자료에 MLM 로버스트 추정 CFA/SEM, 적합도 지수와 사이트 군집 반영"
746,1.1 qualitative_approach_appropriate,1.1,Y,3.2: 이동 중 지각·정서를 포착하는 보행인터뷰가 보행 촉진·저해 요인 연구질문에 적합
746,1.2 data_collection_adequate,1.2,Y,"3.1/3.2: 6개 근린 각 20명, 600m 지정경로 동행, 지오카메라 녹화 후 전사"
746,1.3 findings_derived_from_data,1.3,Y,"3.2/4: 개방코딩 294개 코드·2015개 인용에서 도출, 결과에 직접 인용문 제시"
746,1.4 interpretation_substantiated,1.4,Y,"4: 요소별 언급 비율과 인용문으로 해석을 뒷받침, 성·연령 차이도 자료 범위 내 기술"
746,1.5 coherence_across_components,1.5,Y,3.2 각주5: 근거이론 개방코딩-2인 독립코딩-삼각검증-정서 분류가 일관되게 연결
760,5.1 rationale_for_mixed_design,5.1,Y,Kano 절: 지각의 복잡성과 이해관계자 다양성 때문에 단일 접근이 부적절하다는 근거 명시
760,5.2 components_effectively_integrated,5.2,CT,Data collection: 관찰자료를 인터뷰와 비교분석한다고 기술하나 통합 절차·결과 제시가 빈약
760,5.3 integration_outputs_interpreted,5.3,CT,Analysis of research results: 사운드맵·Kano 분류를 서술하나 두 자료 결합 산출의 근거가 불투명
760,5.4 divergences_addressed,5.4,N,Results/Conclusion: 인터뷰와 행태관찰 결과의 불일치에 대한 언급이나 처리가 없음
760,5.5 components_meet_own_quality_criteria,5.5,N,"Data collection: 질적 코딩 신뢰도·성찰성 미보고, 행태관찰 1일 3회 20분, 표본 66% 남성 편중"
761,4.1 sampling_strategy_relevant,4.1,Y,"2.3: 6개 공원 10개 표집지점에서 방문객을 무작위 접근, 지점별로 다른 날 2회 조사"
761,4.2 sample_representative,4.2,Y,"3.1 Table 2: 지점당 약 200명씩 총 2034명, 인구·행태 변수 분포를 폭넓게 보고"
761,4.3 measurements_appropriate,4.3,Y,"2.2/2.3: 사전조사로 선정한 22개 음원의 5점 척도, class 1 소음계·기상계 병행 측정"
761,4.4 nonresponse_bias_low,4.4,CT,3.1: 응답 2068명 중 2034명을 분석했으나 접근 대비 거부율과 미응답 특성 미보고
761,4.5 statistical_analysis_appropriate,4.5,Y,"2.4: 정규성 검정 후 GLM으로 개인 변수 통제, 다중공선성 진단과 AIC·deviance 적합도 확인"
762,5.1 rationale_for_mixed_design,5.1,Y,Abstract/Discussion: 양적 결과를 배경으로 질적 일기·관찰을 해석한다는 상보적 설계 근거 제시
762,5.2 components_effectively_integrated,5.2,Y,Results Table 5: 일자별로 일기노트·음원 주석·전문가 평정을 나란히 대조해 통합
762,5.3 integration_outputs_interpreted,5.3,Y,Results: 봉쇄 3국면별 대응관계를 해석해 야외활동 변화라는 통합 결론 도출
762,5.4 divergences_addressed,5.4,CT,Results: Day 14 거의 정적 기술과 기술음 우세 등 불일치를 언급만 하고 체계적으로 다루지 않음
762,5.5 components_meet_own_quality_criteria,5.5,N,"Materials and Methods: 단일 발코니 고정 녹음 50건, 저자 3인이 평정단 포함, 일기 단독 작성·성찰성 미보고"
791,4.1 sampling_strategy_relevant,4.1,CT,"Section 5: 설치된 10개 센서 중 가동기간이 길다는 이유로 4개만 사용, 단일 캠퍼스 한정"
791,4.2 sample_representative,4.2,N,6.1: 무선 인터페이스가 켜진 기기만 탐지(BT는 극소)되는데 기기 수를 인구 대리지표로 검증 없이 사용
791,4.3 measurements_appropriate,4.3,N,"4.1/6.1: 저가 사운드미터(GM1356) 교정·등급 미보고, 실제 통행량 대조(ground truth) 부재"
791,4.4 nonresponse_bias_low,4.4,N,6.1: 미탐지와 센서 거리 편향(센서3·4 표준편차 최대 71%)에 대한 결측 처리 방안 없음
791,4.5 statistical_analysis_appropriate,4.5,N,"6.3: 기술통계와 다항식 곡선적합만으로 소음 주원인이 사람 이동이라 결론, 통계검정 없음"
799,4.1 sampling_strategy_relevant,4.1,Y,2.2: 시간당 10분 표집이 1시간 교통량을 대표함을 오차 0.48~6.23%로 사전 검증
799,4.2 sample_representative,4.2,N,"2.1: 경적이 잦다고 사전 관찰된 타이베이역 인근 3개 교차로만, 각 평일·주말 1일씩, 일반화 논의 없음"
799,4.3 measurements_appropriate,4.3,Y,"2.1/2.3: RION NL-52 소음계 12시간 연속 측정과 캠코더 2대 영상, AS-60으로 경적 시점 특정"
799,4.4 nonresponse_bias_low,4.4,Y,2.2/2.3: 분석 대상 시간대의 소음·영상 자료가 모두 확보되어 결측이나 탈락 문제 없음
799,4.5 statistical_analysis_appropriate,4.5,CT,4.5: 다중공선성 점검 후 변수 제외는 적절하나 교차로·요일 반복측정의 군집구조를 무시
804,4.1 sampling_strategy_relevant,4.1,Y,"2.3: 3개 구역 6개 표집지점을 서로 다른 날 2회씩 조사, 익명 무작위 면접"
804,4.2 sample_representative,4.2,CT,"2.3/3.1: 단일 공원 2021년 4월 맑은 날 주간에 한정, 60세 이상 응답자 과소"
804,4.3 measurements_appropriate,4.3,Y,2.2/2.3: 선행 척도와 ISO 정의 반영·사전조사·문항 순서 무작위화·불성실 응답 필터·청력 확인
804,4.4 nonresponse_bias_low,4.4,Y,"2.3: 406부 중 344부 유효(84.7%), 무효 처리 기준을 명시"
804,4.5 statistical_analysis_appropriate,4.5,CT,3.3: 수백 회 상관검정을 다중비교 보정 없이 수행하고 r 0.12~0.24의 약한 상관을 유의 결과로 해석
818,4.1 sampling_strategy_relevant,4.1,Y,3.2: 2022년 4월 26일~5월 3일 공원 방문객 550명에게 무작위 표집으로 설문 배포
818,4.2 sample_representative,4.2,CT,Table 2/6: 단일 국립삼림공원이고 대학 이상 78%·초방문 69%로 편중되며 연휴 기간 포함
818,4.3 measurements_appropriate,4.3,Y,"3.2/4.1: PA·ERB는 선행 검증척도 사용, SP 척도는 100부 사전조사와 EFA·Cronbach α로 검증"
818,4.4 nonresponse_bias_low,4.4,Y,3.2: 550부 배포 중 510부가 유효 회수(92.7%)되어 미응답 비율이 낮음
818,4.5 statistical_analysis_appropriate,4.5,Y,"3.3: CFA로 측정모형 확인 후 SEM, 부트스트랩 2000회로 매개효과 검정"
821,4.1 sampling_strategy_relevant,4.1,CT,3.3.1: 9개 표집지점 선정 기준은 제시하나 응답자 모집과 온라인 설문 배포 대상이 불명
821,4.2 sample_representative,4.2,CT,3.1.1/3.3.1: 단일 공원 7월 평일 18~21시 이용자로 한정되고 표본틀이 제시되지 않음
821,4.3 measurements_appropriate,4.3,Y,3.3.2/3.3.3: 계층분석 기반 평가체계와 Likert 척도에 Cronbach α=0.969·KMO=0.968 확인
821,4.4 nonresponse_bias_low,4.4,Y,"3.3.1: 300부 중 281부 회수(93.7%), 불성실 제외 후 266부 유효(88.7%)"
821,4.5 statistical_analysis_appropriate,4.5,Y,"3.3/4: 비정규 자료에 Spearman·Kruskal-Wallis 사용, 다중회귀는 VIF<10 확인(R2=0.79~0.85)"
833,5.1 rationale_for_mixed_design,5.1,Y,3 서두: 주관적 지각을 얻는 질적 이동인터뷰와 동적 노출을 재는 웨어러블 실측의 상보성 명시
833,5.2 components_effectively_integrated,5.2,Y,3.4: 발화 시점 타임스탬프로 코드와 dB(A)·PNC 값을 연결하고 MAXQDA·QGIS로 통합 시각화
833,5.3 integration_outputs_interpreted,5.3,Y,4/5: 실측과 지각이 일치하는 구간과 어긋나는 구간을 사례별로 해석
833,5.4 divergences_addressed,5.4,Y,4 서두/5.3: 고노출인데 긍정 평가된 상황을 감각인지·사회적 단서로 설명하고 dB(A) 해석 한계도 명시
833,5.5 components_meet_own_quality_criteria,5.5,CT,"3.4/5.3: 귀납-연역 코딩과 3회 사전조사는 충실하나 코딩 신뢰도 미보고, 표본 28명 자기선택"
858,4.1 표집전략,4.1,CT,온라인 웹폼 배포 외에 표집 프레임·모집 절차를 기술하지 않음(2.3절)
858,4.2 표본대표성,4.2,N,응답자 71%가 공학·도시계획 전공(2.3절)이라 항만 이용자 대표성이 낮음
858,4.3 측정적절성,4.3,Y,HATS 교정·ISO 532 심리음향 지표와 ISO/TS 12913-2 설문·이탈리아어 번역 검증 사용(2.2-2.3절)
858,4.4 무응답편의,4.4,CT,228명 완료만 보고하고 배포 수·응답률·무응답 분석이 없음(2.3절)
858,4.5 통계분석적절성,4.5,N,8개 클러스터 집계값에 예측변수 3개를 다중회귀(Table 5 DFE 2-3)해 과적합
862,4.1 표집전략,4.1,Y,70x70m 격자 31개 지점과 3일 무작위 선정·시간당 2분 표집을 명시(2.2절)
862,4.2 표본대표성,4.2,Y,격자가 공원 전역을 피복해 여름철 대상 사운드스케이프를 공간적으로 대표(Figure 1)
862,4.3 측정적절성,4.3,CT,교정 SPL 없이 PSD만 사용하고 청취 판별 신뢰도 미보고·분할 정확도 66%(2.3절)
862,4.4 무응답편의,4.4,Y,센서 녹음 기반이라 무응답이 비해당이며 결측·장비 실패 보고 없음(2.2절)
862,4.5 통계분석적절성,4.5,N,"n=31에 예측변수 9개(Table 3-4), 조정 R2 0.355로 급락하고 VIF 7.59를 무공선성 처리"
883,4.1 표집전략,4.1,Y,리서치 패널로 성·연령·주 단위 층화 모집해 도시·농촌을 포괄(2.1절)
883,4.2 표본대표성,4.2,Y,n=4105이며 교육수준은 인구조사와 근사하고 연령·성비 편차를 저자가 명시(2.1절)
883,4.3 측정적절성,4.3,CT,"새소리 인지·쾌적성을 단일문항 회상으로 재고 이분화, 저자도 조야한 지표로 인정(4.4절)"
883,4.4 무응답편의,4.4,CT,패널 초대 대비 응답률을 보고하지 않고 소득 무응답은 결측 처리만 함(2.3.5절)
883,4.5 통계분석적절성,4.5,Y,"AIC 다중모형 선택·VIF 점검·사전 검정력 분석 수행(2.4절), 단 Table 1 신뢰구간 표기 오류"
888,1.1 qualitative approach appropriate to answer research question,1.1,Y,"§1 말미 연구목적(공공공간 이용자 관점의 사운드스케이프 차원과 요소 간 관계 규명)이 탐색적이며, §2.1 은 이용자 자신의 언어에서 이론을 도출하는 근거이론 접근을 택해 질적 접근이 적합."
888,1.2 qualitative data collection methods adequate,1.2,Y,§2.1–2.2: 4개 현장에서 이용자 23명을 약 30분 비구조화·개방형 심층면접(Table 2 면접 구조)하고 자료 포화 시점까지 모집했으며 면접 중 음원 기록·SPL 측정을 병행. 녹취·전사 세부는 간략.
888,1.3 findings adequately derived from the data,1.3,Y,§2.3·Table 3: NVivo 12 로 open coding(176→105 항목)·axial coding(55 범주)·selective coding(4개 aspect) 절차를 단계별로 제시해 결과가 자료에서 도출됨.
888,1.4 interpretation of results sufficiently substantiated by data,1.4,Y,§3 각 결과가 코드 번호(a3·a77 등)와 짧은 인용으로 뒷받침됨(§3.2.2·§3.3.1·§3.4.2). 다만 인용이 짧고 활동–선호 연결(§3.4.2)은 소수 코드에 기대어 있음.
888,"1.5 coherence between data sources, collection, analysis and interpretation",1.5,Y,"근거이론 설계–심층면접–단계적 코딩–지각 구조 모형(Figure 1)·해석(§4)이 일관됨. 현장·문화 차이는 분석하지 않았다고 명시(§5 [page 13])하고, 윤리 진술에 'animal study' 오기가 있음([page 13])."
901,4.1 표집전략,4.1,Y,70x70m 격자 35개 지점에서 개장시간 2시간마다 2분 무작위 녹음을 기술(2.2.1절)
901,4.2 표본대표성,4.2,CT,6-7월 맑은 날 2일·단일 공원 560분만 수집(2.2.1절)해 시간적 대표성 불확실
901,4.3 측정적절성,4.3,Y,Sony PCM-D100 규격과 ACI·ADI·AR·NDSI 파라미터를 공개하고 SOPARC 관찰 병행(Table 1-3)
901,4.4 무응답편의,4.4,Y,센서·파노라마 관찰 기반으로 무응답이 비해당이며 제외 표본 보고 없음(2.2.2절)
901,4.5 통계분석적절성,4.5,N,Table 4-5에서 t값과 p값이 불일치(t=4.92에 p=0.135)하고 행 중복·다중상관 미보정
917,3.1 participants representative of the target population,3.1,N,"학년 1-6과 성별을 균형 배치했다고 밝히지만(§2.5 [page 5], Table 2) 모집 경로·표집틀·지역·학교가 전혀 보고되지 않은 40명(분석 38명) 편의표본이고, 저자도 '표본이 이 문제를 파고들기에 충분히 크지 않다'고 한계를 인정해(§3.3 [page 8]) 중국 학령기 아동 모집단을 대표한다고 보기 어렵다."
917,3.2 measurements appropriate regarding outcome and exposure,3.2,Y,"노출은 13개 음원을 8개 사운드스케이프로 합성해 전부 55 dBA(±1)로 정규화하고 아동 귀 위치에서 LAeq,4min 을 실측했으며 배경소음(21.0-23.2 dBA)과 심리음향 지표(FS·S·R·N, Table 6 [page 9])까지 보고해 적절하다(§2.1-2.2 [page 2-4]). 결과는 Interaction/Nonparticipation/Avoiding 을 조작적으로 정의하고 시연 단계로 'Pending' 응답을 재확인하는 절차를 갖췄으나(§2.3·Fig. 3-4 [page 4-5]) 검증된 척도가 아니고 단일 문항·15초 노출 기반이며 신뢰도·평가자간 일치도가 보고되지 않은 점이 약점이다."
917,3.3 complete outcome data,3.3,Y,"40명 중 개인 사정으로 중도 종료한 2명을 제외하고 38명을 분석했다고 명시했고(§2.5 [page 5]), Table 3 [page 6]의 조건별 관측수는 65-66(총 592)으로 설계상 최대치(38명 x 2 시각환경 = 76)의 약 87 %에 해당해 결측이 크지 않다. 다만 조건별 미완료 분포와 결측 처리 방법은 원문에 보고되지 않았고(각 아동은 최소 9개 자극만 필수, §2.4 [page 4-5]) 위 비율은 보고된 수치에서 산술적으로 도출한 값이다."
917,3.4 confounders accounted for in design and analysis,3.4,Y,"각 아동이 모든 조건을 겪는 피험자내 설계와 무작위 제시 순서, 무음 통제 조건, 사람이 등장하지 않는 영상(사회적 실체의 간섭 차단), 전 자극 동일 음압(55 dBA)으로 주요 교란을 설계 단계에서 통제했고(§2.1.3·§2.4 [page 3-5]), 분석에서도 성·연령·학년·성격과 사운드스케이프의 상호작용을 다항 로지스틱으로 검정해 유의하지 않음을 확인했다(§3.3 [page 8], X2 = 24.994, p = 0.125)."
917,3.5 exposure/intervention administered as intended,3.5,Y,"녹음실에서 투사 화면·스피커 배치(화면 2.5 m, 스피커 1.7 m·머리 높이)를 고정하고 소음계로 아동 귀 위치의 자극 음압을 확인해 55 dBA(±1)로 재생했으며, 자극과 영상을 절차 완료 시까지 루프 재생하고 과제 간 2분 휴식을 두는 등 노출이 의도대로 전달되었다(§2.2·§2.4 [page 3-5]). 다만 15초 후 질문을 시작해 노출 시간이 아동마다 달라질 수 있다."
930,4.1 표집전략,4.1,CT,군집표집과 코크란 공식 96명x3집단을 기술(3.1절)했으나 결과 백분율은 n=102를 시사
930,4.2 표본대표성,4.2,N,응답자 76.5%가 남성이고 77%가 26-45세 자영업 중심(4.1절)이라 아동·노인 누락
930,4.3 측정적절성,4.3,Y,내용타당도 확인과 Cronbach 알파 0.761을 보고하고 5점 리커트를 사용(3.1절)
930,4.4 무응답편의,4.4,CT,배포 수·회수율·무응답 처리에 대한 기술이 전무함(3.1절)
930,4.5 통계분석적절성,4.5,N,회귀식을 계수 합산 형태로 오기(4.5절)했고 부호가 Table A1과 불일치하며 R2=0.098
931,3.1 대표성,3.1,CT,톄런공원 단일 활동공간 성인만 관찰했고 인구학 정보 미수집을 저자가 인정(4.3절)
931,3.2 측정적절성,3.2,Y,"class 1 소음계 격자 SPL 실측과 BORIS 코딩 프로토콜(Table 1) 명시, 영상 무음화로 맹검"
931,3.3 결과자료완전성,3.3,Y,간섭·10인 미만 발췌 제외 기준을 사전 명시했고 90개 발췌가 5조건에 17-19개씩 배분(2.6절)
931,3.4 교란변수고려,3.4,CT,조건 순서를 시간대별로 균형배치했으나 요일·기온·개인 반복노출은 보정하지 않음(2.5절)
931,3.5 노출시행충실도,3.5,Y,개입음을 배경 대비 10dB 이내로 설정하고 30초마다 SPL을 상시 기록(2.4-2.5절)
941,3.1 대표성,3.1,CT,하얼빈 단일 가로에서 1일 관측한 보행자 211인시(Table 1)로 인구학·통행목적 정보 없음
941,3.2 측정적절성,3.2,Y,4채널 프런트엔드와 ArtemiS로 SPL 실측하고 냄새는 격자당 30부 이상 설문으로 대리 측정(2.2절)
941,3.3 결과자료완전성,3.3,CT,총 통행량 대비 표본 추출·제외 절차와 결측 처리를 기술하지 않음(2.3절)
941,3.4 교란변수고려,3.4,N,저·고 SPL이 시간대(13-15시 대 15-17시)와 교차로 근접에 교란되나 보정 없음(2.3절·4절)
941,3.5 노출시행충실도,3.5,Y,실제 교통소음과 만개한 라일락 향을 현장에서 확인하고 타 냄새원 부재를 응답으로 검증(2.2절)
951,4.1 표집전략,4.1,Y,헬싱키 OSM 가로망 전수 13322개 구간에 20m 버퍼를 적용하고 1km 미만 경로 제외(2.2.1절)
951,4.2 표본대표성,4.2,N,Strava 이용자가 남성·경쟁적 러너에 편중된다고 저자가 명시(4.5절 한계)
951,4.3 측정적절성,4.3,Y,GVI 의미분할·NDVI·소음/대기 래스터의 출처와 산출식을 명시하고 VIF<3 확인(2.2절·Table 1)
951,4.4 무응답편의,4.4,CT,비기여 러너로 인한 커버리지 편의를 정량화하거나 보정하지 않음(4.5절)
951,4.5 통계분석적절성,4.5,Y,2수준 다층모형에 무작위 절편·기울기와 교차수준 상호작용을 넣고 VPC·AIC로 비교(2.3절)
964,4.1 표집전략,4.1,CT,9개 측정지점 선정 기준은 명시(2.1절)했으나 참가자 20명의 모집 경로는 미기술
964,4.2 표본대표성,4.2,N,20-30세 청년 20명만 평가(2.3절)해 전 연령 이용자를 대표하지 못한다고 저자도 인정
964,4.3 측정적절성,4.3,CT,행태 활력을 조사자 4인의 리커트 평정으로 대체하고 평정자 간 신뢰도를 미보고(2.2.3절)
964,4.4 무응답편의,4.4,Y,180부 중 불성실 41부 제외 기준을 명시하고 유효 139부(77%)를 확보(2.3절)
964,4.5 통계분석적절성,4.5,N,9개 지점 값으로 139개 응답을 회귀해 유사반복이고 Table 4 계수와 식(5)이 불일치
971,3.1 대표성,3.1,CT,9월 평일 15-18시 시후공원 2개 지점 방문객만 관찰했고 연령·시간대 한계를 인정(4.2절)
971,3.2 측정적절성,3.2,Y,"LAeq는 BSWA801, UTCI는 Kestrel5500 기반으로 산출하고 예비실험에서 소음 성가심 7점 평정(2.2절)"
971,3.3 결과자료완전성,3.3,CT,결측이 없다고 했으나 이상치 제거·대체 규칙을 제시하지 않음(2.6절)
971,3.4 교란변수고려,3.4,N,"고온 조건은 공원도로에서, 저·중온은 광장에서 관측(2.3.1절)해 온도와 장소가 완전 교란"
971,3.5 노출시행충실도,3.5,Y,스피커를 은닉 배치하고 재생 전후 SPL을 측정하며 군중밀도 0.05인/m2 미만 유지(2.3.2·2.4절)
979,1.1 접근적절성,1.1,Y,소음에 대한 실시간 지향을 다루므로 멀티모달 대화분석 접근이 연구질문에 부합(3절)
979,1.2 자료수집적절성,1.2,Y,카메라 3대와 무선마이크로 자연 산책 10회를 녹화하고 영상자극 면접을 병행(3-4절)
979,1.3 결과도출충분성,1.3,Y,시선·발화·타이밍을 초 단위로 표기한 전사 발췌로 각 주장의 근거를 제시(5.1-5.2절)
979,1.4 해석근거,1.4,CT,정신증군 대 동반자 차이를 발췌 3-4개로 일반화했고 사례 수·비교군이 없음(5.1.2절)
979,1.5 방법일관성,1.5,Y,EMCA 틀 아래 자연 관찰과 영상자극 면접의 차이까지 방법론적으로 성찰(6절)
